animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
3E4,11.99,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
2S2,6.31,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
3D1,13.11,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
2T2,4.09,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
2T6,5.18,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
82V,16.01,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
55R,14.97,1,ACC,old,0.4976452119309261,0.006150943396226415,True,neutral
1T9,4.11,1,ACC,young,0.3312401883830454,0.047528301886792454,True,neutral
2Q0,3.21,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
5R4,6.25,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
91O,15.86,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
82V,16.01,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
3D1,13.11,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
3T5,5.12,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
4J6,7.15,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
2T6,5.18,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
3T5,5.12,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
5R4,6.25,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
37V,15.07,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
3T5,5.12,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
74K,20.81,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
0B9,12.11,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
2Q0,3.21,1,ACC,young,0.4976452119309261,0.006150943396226415,True,neutral
5H6,11.03,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
2C6,14.03,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
55R,14.97,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
41N,16.74,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
74K,20.81,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
0B9,12.11,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
3T5,5.12,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
5R4,6.25,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
2S6,3.17,1,ACC,young,-0.500784929356358,0.05292452830188679,False,young_enriched
56R,14.95,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
55R,14.97,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
91O,15.86,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
3E4,11.99,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
2Q0,3.21,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
8C9,12.12,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
2V1,4.3,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
74K,20.81,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
2T6,5.18,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
91O,15.86,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
41N,16.74,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
74K,20.81,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
3D1,13.11,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
3T5,5.12,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
1G8,7.88,1,ACC,young,0.3312401883830454,0.047528301886792454,True,neutral
77V,16.15,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
43N,17.0,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
1P5,6.21,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
98V,16.03,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
1G8,7.88,1,ACC,young,0.6640502354788067,0.0,True,old_enriched
2V1,4.3,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
77V,16.15,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
46Z,13.97,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
41N,16.74,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
74K,20.81,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
4J6,7.15,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
3T5,5.12,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
2T6,5.18,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
2C6,14.03,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
1G8,7.88,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
41N,16.74,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
41N,16.74,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
2T6,5.18,1,ACC,young,-0.500784929356358,0.05292452830188679,False,young_enriched
2T6,5.18,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
74K,20.81,1,ACC,old,0.4976452119309261,0.006150943396226415,True,neutral
2C6,14.03,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
2C6,14.03,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
2S2,6.31,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
3D1,13.11,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
50P,15.59,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
97R,17.93,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
8B3,13.09,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
7F0,11.2,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
74K,20.81,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
2Q0,3.21,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
3D1,13.11,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
5R4,6.25,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
2T6,5.18,1,ACC,young,0.3312401883830454,0.047528301886792454,True,neutral
3T5,5.12,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
91O,15.86,1,ACC,old,-0.500784929356358,0.05292452830188679,False,young_enriched
4J6,7.15,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
2T6,5.18,1,ACC,young,-0.8335949764521193,0.0015283018867924528,True,young_enriched
46Z,13.97,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
3D1,13.11,1,ACC,old,0.4976452119309261,0.006150943396226415,True,neutral
42T,15.96,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
31S,17.0,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
41N,16.74,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
7F0,11.2,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
74K,20.81,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
74K,20.81,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
3D1,13.11,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
41N,16.74,1,ACC,old,0.4976452119309261,0.006150943396226415,True,neutral
74K,20.81,1,ACC,old,0.4976452119309261,0.006150943396226415,True,neutral
3E4,11.99,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
42T,15.96,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
5R4,6.25,1,ACC,young,0.4976452119309261,0.006150943396226415,True,neutral
5R4,6.25,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
41N,16.74,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
2T2,4.09,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
2T6,5.18,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
3T5,5.12,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
2C6,14.03,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
56R,14.95,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
42T,15.96,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
91O,15.86,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
4J6,7.15,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
6O7,6.03,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
37V,15.07,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
55R,14.97,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
2F2,11.04,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
8B3,13.09,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
42T,15.96,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
91O,15.86,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
4J6,7.15,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
3T5,5.12,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
91O,15.86,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
41N,16.74,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
2Q0,3.21,1,ACC,young,0.3312401883830454,0.047528301886792454,True,neutral
1V8,4.31,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
7F0,11.2,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
74K,20.81,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
3E4,11.99,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
5R4,6.25,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
91O,15.86,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
74K,20.81,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
46Z,13.97,1,ACC,old,0.6640502354788067,0.0,True,old_enriched
3T5,5.12,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
2C6,14.03,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
91O,15.86,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
2T6,5.18,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
8I6,9.9,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
3T5,5.12,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
5R4,6.25,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
98V,16.03,1,ACC,old,0.4976452119309261,0.006150943396226415,True,neutral
42T,15.96,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
41N,16.74,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
3T5,5.12,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
2T6,5.18,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
2V1,4.3,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
77V,16.15,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
74K,20.81,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
2C6,14.03,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
2Q0,3.21,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
2T6,5.18,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
55R,14.97,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
55R,14.97,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
91O,15.86,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
1V8,4.31,1,ACC,young,0.4976452119309261,0.006150943396226415,True,neutral
1V8,4.31,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
2C6,14.03,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
2C6,14.03,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
0G3,9.1,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
2T6,5.18,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
2T2,4.09,1,ACC,young,-0.500784929356358,0.05292452830188679,False,young_enriched
46Z,13.97,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
3K1,9.01,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
46Z,13.97,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
6O7,6.03,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
2T6,5.18,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
46Z,13.97,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
41N,16.74,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
97R,17.93,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
41N,16.74,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
46Z,13.97,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
91O,15.86,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
74K,20.81,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
55R,14.97,1,ACC,old,0.4976452119309261,0.006150943396226415,True,neutral
2T6,5.18,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
3E4,11.99,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
3D1,13.11,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
1V8,4.31,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
8I6,9.9,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
2T6,5.18,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
42T,15.96,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
2T2,4.09,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
2T6,5.18,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
37V,15.07,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
2T6,5.18,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
0B9,12.11,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
8I6,9.9,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
2T6,5.18,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
2T6,5.18,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
2T6,5.18,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
2T2,4.09,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
3T5,5.12,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
91O,15.86,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
2T6,5.18,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
2T6,5.18,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
91O,15.86,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
82V,16.01,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
91O,15.86,1,ACC,old,0.4976452119309261,0.006150943396226415,True,neutral
55R,14.97,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
97R,17.93,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
1V8,4.31,1,ACC,young,0.4976452119309261,0.006150943396226415,True,neutral
2Q0,3.21,1,ACC,young,0.4976452119309261,0.006150943396226415,True,neutral
2Q0,3.21,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
37V,15.07,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
46Z,13.97,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
2Q0,3.21,1,ACC,young,0.3312401883830454,0.047528301886792454,True,neutral
3T5,5.12,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
1V8,4.31,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
3D1,13.11,1,ACC,old,0.4976452119309261,0.006150943396226415,True,neutral
91O,15.86,1,ACC,old,0.4976452119309261,0.006150943396226415,True,neutral
46Z,13.97,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
2T2,4.09,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
7F0,11.2,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
41N,16.74,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
8C9,12.12,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
3D1,13.11,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
3T5,5.12,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
1G8,7.88,1,ACC,young,-0.500784929356358,0.05292452830188679,False,young_enriched
41N,16.74,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
3E4,11.99,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
55R,14.97,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
5R4,6.25,1,ACC,young,0.3312401883830454,0.047528301886792454,True,neutral
1V8,4.31,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
43N,17.0,1,ACC,old,0.4976452119309261,0.006150943396226415,True,neutral
6O7,6.03,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
5R4,6.25,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
42T,15.96,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
2C6,14.03,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
2F2,11.04,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
42T,15.96,1,ACC,old,-0.500784929356358,0.05292452830188679,False,young_enriched
41N,16.74,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
2V1,4.3,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
74K,20.81,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
2T6,5.18,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
74K,20.81,1,ACC,old,-0.3343799058084773,0.16150943396226414,False,neutral
74K,20.81,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
1P5,6.21,1,ACC,young,0.4976452119309261,0.006150943396226415,True,neutral
2Q0,3.21,1,ACC,young,0.4976452119309261,0.006150943396226415,True,neutral
3D1,13.11,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
50P,15.59,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
97R,17.93,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
2T6,5.18,1,ACC,young,-0.6671899529042387,0.011433962264150943,True,young_enriched
4J6,7.15,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
55R,14.97,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
50P,15.59,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
42T,15.96,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
2T6,5.18,1,ACC,young,0.3312401883830454,0.047528301886792454,True,neutral
91O,15.86,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
2Q0,3.21,1,ACC,young,0.4976452119309261,0.006150943396226415,True,neutral
2T6,5.18,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
1V8,4.31,1,ACC,young,0.3312401883830454,0.047528301886792454,True,neutral
31S,17.0,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
41N,16.74,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
0B9,12.11,1,ACC,old,-0.16797488226059662,0.3620188679245283,False,neutral
31S,17.0,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
6O7,6.03,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
4J6,7.15,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
2C6,14.03,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
91O,15.86,1,ACC,old,0.6640502354788067,0.0,True,old_enriched
2T6,5.18,1,ACC,young,0.3312401883830454,0.047528301886792454,True,neutral
41N,16.74,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
3D1,13.11,1,ACC,old,-0.0015698587127159474,0.6153962264150944,False,neutral
7M4,8.15,1,ACC,young,0.4976452119309261,0.006150943396226415,True,neutral
42T,15.96,1,ACC,old,0.16483516483516472,0.38460377358490566,False,neutral
2T6,5.18,1,ACC,young,-0.0015698587127159474,0.6153962264150944,False,neutral
91O,15.86,1,ACC,old,0.3312401883830454,0.047528301886792454,True,neutral
2Q0,3.21,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
2S2,6.31,1,ACC,young,0.16483516483516472,0.38460377358490566,False,neutral
5R4,6.25,1,ACC,young,-0.16797488226059662,0.3620188679245283,False,neutral
2T6,5.18,1,ACC,young,-0.3343799058084773,0.16150943396226414,False,neutral
4J6,7.15,1,ACC,young,-0.500784929356358,0.05292452830188679,False,young_enriched
