animal_id,age,louvain,region
1P5,6.21,3,NAc
1V8,4.31,3,NAc
1P5,6.21,3,NAc
1P5,6.21,3,NAc
3D1,13.11,3,NAc
3T5,5.12,3,NAc
1V8,4.31,3,NAc
1V8,4.31,3,NAc
8M0,8.12,3,NAc
8H2,10.13,3,NAc
0G3,9.1,3,NAc
0G3,9.1,3,NAc
1P5,6.21,3,NAc
1P5,6.21,3,NAc
1P5,6.21,3,NAc
1G8,7.88,3,NAc
1P5,6.21,3,NAc
1P5,6.21,3,NAc
3T5,5.12,3,NAc
1P5,6.21,3,NAc
55R,14.97,3,NAc
3D1,13.11,3,NAc
41N,16.74,3,NAc
1P5,6.21,3,NAc
1P5,6.21,3,NAc
3T5,5.12,3,NAc
1P5,6.21,3,NAc
6O7,6.03,3,NAc
1P5,6.21,3,NAc
3T5,5.12,3,NAc
2F2,11.04,3,NAc
4S3,3.18,3,NAc
2F2,11.04,3,NAc
4S3,3.18,3,NAc
1P5,6.21,3,NAc
3D1,13.11,3,NAc
31S,17.0,3,NAc
1P5,6.21,3,NAc
1P5,6.21,3,NAc
55R,14.97,3,NAc
3T5,5.12,3,NAc
4S3,3.18,3,NAc
41N,16.74,3,NAc
1V8,4.31,3,NAc
6O7,6.03,3,NAc
8M0,8.12,3,NAc
3T5,5.12,3,NAc
8H2,10.13,3,NAc
1V8,4.31,3,NAc
6O7,6.03,3,NAc
3T5,5.12,3,NAc
4S3,3.18,3,NAc
1V8,4.31,3,NAc
1G8,7.88,3,NAc
1V8,4.31,3,NAc
1P5,6.21,3,NAc
1P5,6.21,3,NAc
55R,14.97,3,NAc
1V8,4.31,3,NAc
3T5,5.12,3,NAc
1V8,4.31,3,NAc
3D1,13.11,3,NAc
3T5,5.12,3,NAc
1G8,7.88,3,NAc
4S3,3.18,3,NAc
1P5,6.21,3,NAc
6O7,6.03,3,NAc
3T5,5.12,3,NAc
1G8,7.88,3,NAc
1V8,4.31,3,NAc
1P5,6.21,3,NAc
8B3,13.09,3,NAc
1P5,6.21,3,NAc
3T5,5.12,3,NAc
1G8,7.88,3,NAc
3E4,11.99,3,NAc
4S3,3.18,3,NAc
1P5,6.21,3,NAc
55R,14.97,3,NAc
1V8,4.31,3,NAc
1V8,4.31,3,NAc
1V8,4.31,3,NAc
1P5,6.21,3,NAc
1P5,6.21,3,NAc
3T5,5.12,3,NAc
3T5,5.12,3,NAc
2F2,11.04,3,NAc
1V8,4.31,3,NAc
3T5,5.12,3,NAc
2F2,11.04,3,NAc
1V8,4.31,3,NAc
55R,14.97,3,NAc
1V8,4.31,3,NAc
1P5,6.21,3,NAc
56R,14.95,3,NAc
3D1,13.11,3,NAc
6O7,6.03,3,NAc
1P5,6.21,3,NAc
3T5,5.12,3,NAc
4S3,3.18,3,NAc
1P5,6.21,3,NAc
1P5,6.21,3,NAc
1V8,4.31,3,NAc
3T5,5.12,3,NAc
2F2,11.04,3,NAc
1P5,6.21,3,NAc
2F2,11.04,3,NAc
3T5,5.12,3,NAc
3T5,5.12,3,NAc
1P5,6.21,3,NAc
8M0,8.12,3,NAc
2F2,11.04,3,NAc
3D1,13.11,3,NAc
1P5,6.21,3,NAc
1P5,6.21,3,NAc
8C9,12.12,3,NAc
55R,14.97,3,NAc
41N,16.74,3,NAc
1P5,6.21,3,NAc
1P5,6.21,3,NAc
1P5,6.21,3,NAc
3T5,5.12,3,NAc
3T5,5.12,3,NAc
1P5,6.21,3,NAc
1V8,4.31,3,NAc
1P5,6.21,3,NAc
3D1,13.11,3,NAc
55R,14.97,3,NAc
3T5,5.12,3,NAc
3T5,5.12,3,NAc
2F2,11.04,3,NAc
6O7,6.03,3,NAc
