animal_id,age,louvain,region
2S6,3.17,27,HIP
46Z,13.97,27,HIP
3R7,3.32,27,HIP
97R,17.93,27,HIP
3R7,3.32,27,HIP
2V1,4.3,27,HIP
2V1,4.3,27,HIP
7F0,11.2,27,HIP
0G3,9.1,27,HIP
46Z,13.97,27,HIP
2V1,4.3,27,HIP
3D1,13.11,27,HIP
7M4,8.15,27,HIP
0G3,9.1,27,HIP
2V1,4.3,27,HIP
43N,17.0,27,HIP
8C9,12.12,27,HIP
6O7,6.03,27,HIP
2S6,3.17,27,HIP
2V1,4.3,27,HIP
2Q0,3.21,27,HIP
0G3,9.1,27,HIP
2T6,5.18,27,HIP
1P5,6.21,27,HIP
2S6,3.17,27,HIP
46Z,13.97,27,HIP
2Q0,3.21,27,HIP
56R,14.95,27,HIP
2S6,3.17,27,HIP
2S6,3.17,27,HIP
3R7,3.32,27,HIP
91O,15.86,27,HIP
43N,17.0,27,HIP
8B3,13.09,27,HIP
6O7,6.03,27,HIP
50P,15.59,27,HIP
2V1,4.3,27,HIP
6O7,6.03,27,HIP
2Q0,3.21,27,HIP
2V1,4.3,27,HIP
2V1,4.3,27,HIP
4S3,3.18,27,HIP
2Q0,3.21,27,HIP
91O,15.86,27,HIP
3E4,11.99,27,HIP
3R7,3.32,27,HIP
3R7,3.32,27,HIP
2S6,3.17,27,HIP
50P,15.59,27,HIP
91O,15.86,27,HIP
4S3,3.18,27,HIP
8I6,9.9,27,HIP
2Q0,3.21,27,HIP
37V,15.07,27,HIP
0G3,9.1,27,HIP
43N,17.0,27,HIP
91O,15.86,27,HIP
6O7,6.03,27,HIP
8I6,9.9,27,HIP
42T,15.96,27,HIP
56K,19.93,27,HIP
2V1,4.3,27,HIP
2V1,4.3,27,HIP
2V1,4.3,27,HIP
2V1,4.3,27,HIP
56R,14.95,27,HIP
50P,15.59,27,HIP
6O7,6.03,27,HIP
2Q0,3.21,27,HIP
1G8,7.88,27,HIP
2V1,4.3,27,HIP
46Z,13.97,27,HIP
2V1,4.3,27,HIP
2S2,6.31,27,HIP
42T,15.96,27,HIP
5H6,11.03,27,HIP
8M0,8.12,27,HIP
6O7,6.03,27,HIP
2V1,4.3,27,HIP
2V1,4.3,27,HIP
7F0,11.2,27,HIP
42T,15.96,27,HIP
8I6,9.9,27,HIP
2V1,4.3,27,HIP
6O7,6.03,27,HIP
2Q0,3.21,27,HIP
46Z,13.97,27,HIP
2T6,5.18,27,HIP
2V1,4.3,27,HIP
5R4,6.25,27,HIP
97R,17.93,27,HIP
2V1,4.3,27,HIP
2S6,3.17,27,HIP
2V1,4.3,27,HIP
2V1,4.3,27,HIP
2V1,4.3,27,HIP
82V,16.01,27,HIP
2T6,5.18,27,HIP
91O,15.86,27,HIP
2Q0,3.21,27,HIP
2T2,4.09,27,HIP
6O7,6.03,27,HIP
2S6,3.17,27,HIP
2Q0,3.21,27,HIP
2Q0,3.21,27,HIP
0G3,9.1,27,HIP
0G3,9.1,27,HIP
56K,19.93,27,HIP
2Q0,3.21,27,HIP
2V1,4.3,27,HIP
0G3,9.1,27,HIP
5H6,11.03,27,HIP
2V1,4.3,27,HIP
74K,20.81,27,HIP
0B9,12.11,27,HIP
2Q0,3.21,27,HIP
2V1,4.3,27,HIP
2F2,11.04,27,HIP
7F0,11.2,27,HIP
4S3,3.18,27,HIP
2V1,4.3,27,HIP
6O7,6.03,27,HIP
1P5,6.21,27,HIP
50P,15.59,27,HIP
6O7,6.03,27,HIP
50P,15.59,27,HIP
43N,17.0,27,HIP
2S6,3.17,27,HIP
91O,15.86,27,HIP
3T5,5.12,27,HIP
97R,17.93,27,HIP
0B9,12.11,27,HIP
7M4,8.15,27,HIP
3R7,3.32,27,HIP
5H6,11.03,27,HIP
8I6,9.9,27,HIP
2Q0,3.21,27,HIP
97R,17.93,27,HIP
0G3,9.1,27,HIP
2Q0,3.21,27,HIP
0G3,9.1,27,HIP
2V1,4.3,27,HIP
46Z,13.97,27,HIP
0G3,9.1,27,HIP
97R,17.93,27,HIP
43N,17.0,27,HIP
0G3,9.1,27,HIP
1G8,7.88,27,HIP
6O7,6.03,27,HIP
91O,15.86,27,HIP
6O7,6.03,27,HIP
7F0,11.2,27,HIP
2V1,4.3,27,HIP
2Q0,3.21,27,HIP
8C9,12.12,27,HIP
6O7,6.03,27,HIP
91O,15.86,27,HIP
6O7,6.03,27,HIP
1T9,4.11,27,HIP
4S3,3.18,27,HIP
4S3,3.18,27,HIP
2Q0,3.21,27,HIP
3D1,13.11,27,HIP
43N,17.0,27,HIP
6O7,6.03,27,HIP
2T6,5.18,27,HIP
7F0,11.2,27,HIP
1P5,6.21,27,HIP
4S3,3.18,27,HIP
2V1,4.3,27,HIP
8I6,9.9,27,HIP
3R7,3.32,27,HIP
2V1,4.3,27,HIP
91O,15.86,27,HIP
77V,16.15,27,HIP
6O7,6.03,27,HIP
43N,17.0,27,HIP
56K,19.93,27,HIP
4Q6,3.22,27,HIP
6O7,6.03,27,HIP
7F0,11.2,27,HIP
6D9,13.11,27,HIP
4Q6,3.22,27,HIP
43N,17.0,27,HIP
6O7,6.03,27,HIP
2F2,11.04,27,HIP
42T,15.96,27,HIP
7F0,11.2,27,HIP
2Q0,3.21,27,HIP
1G8,7.88,27,HIP
8B3,13.09,27,HIP
1V8,4.31,27,HIP
8I6,9.9,27,HIP
42T,15.96,27,HIP
91O,15.86,27,HIP
0G3,9.1,27,HIP
8I6,9.9,27,HIP
1G8,7.88,27,HIP
1V8,4.31,27,HIP
6O7,6.03,27,HIP
3T5,5.12,27,HIP
50P,15.59,27,HIP
2C6,14.03,27,HIP
50P,15.59,27,HIP
7F0,11.2,27,HIP
0G3,9.1,27,HIP
3T5,5.12,27,HIP
4Q6,3.22,27,HIP
3T5,5.12,27,HIP
46Z,13.97,27,HIP
5H6,11.03,27,HIP
6O7,6.03,27,HIP
7M4,8.15,27,HIP
2V1,4.3,27,HIP
43N,17.0,27,HIP
37V,15.07,27,HIP
7F0,11.2,27,HIP
43N,17.0,27,HIP
2C6,14.03,27,HIP
5R4,6.25,27,HIP
1P5,6.21,27,HIP
2T6,5.18,27,HIP
2Q0,3.21,27,HIP
43N,17.0,27,HIP
8M0,8.12,27,HIP
4S3,3.18,27,HIP
91O,15.86,27,HIP
0G3,9.1,27,HIP
2V1,4.3,27,HIP
8M0,8.12,27,HIP
43N,17.0,27,HIP
1P5,6.21,27,HIP
1L1,8.17,27,HIP
2V1,4.3,27,HIP
2V1,4.3,27,HIP
2Q0,3.21,27,HIP
7M4,8.15,27,HIP
2V1,4.3,27,HIP
8C9,12.12,27,HIP
2V1,4.3,27,HIP
43N,17.0,27,HIP
2V1,4.3,27,HIP
2V1,4.3,27,HIP
4S3,3.18,27,HIP
2V1,4.3,27,HIP
50P,15.59,27,HIP
42T,15.96,27,HIP
6O7,6.03,27,HIP
2Q0,3.21,27,HIP
2V1,4.3,27,HIP
43N,17.0,27,HIP
2V1,4.3,27,HIP
91O,15.86,27,HIP
74K,20.81,27,HIP
2Q0,3.21,27,HIP
6O7,6.03,27,HIP
4J6,7.15,27,HIP
43N,17.0,27,HIP
2Q0,3.21,27,HIP
43N,17.0,27,HIP
2Q0,3.21,27,HIP
4Q6,3.22,27,HIP
6O7,6.03,27,HIP
6O7,6.03,27,HIP
1P5,6.21,27,HIP
8I6,9.9,27,HIP
2V1,4.3,27,HIP
2Q0,3.21,27,HIP
2Q0,3.21,27,HIP
2Q0,3.21,27,HIP
42T,15.96,27,HIP
2V1,4.3,27,HIP
2V1,4.3,27,HIP
2V1,4.3,27,HIP
2V1,4.3,27,HIP
2Q0,3.21,27,HIP
56K,19.93,27,HIP
2Q0,3.21,27,HIP
2Q0,3.21,27,HIP
46Z,13.97,27,HIP
4J6,7.15,27,HIP
2V1,4.3,27,HIP
2V1,4.3,27,HIP
2T6,5.18,27,HIP
2V1,4.3,27,HIP
2V1,4.3,27,HIP
1P5,6.21,27,HIP
2S6,3.17,27,HIP
77V,16.15,27,HIP
0G3,9.1,27,HIP
2Q0,3.21,27,HIP
2V1,4.3,27,HIP
