animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
2T2,4.09,8,dlPFC,young,-0.6344988344988345,0.02520408163265306,True,young_enriched
91O,15.86,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
43N,17.0,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
2C6,14.03,8,dlPFC,old,-0.4517482517482518,0.09858418367346938,False,neutral
4Q6,3.22,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
0G3,9.1,8,dlPFC,young,0.09650349650349647,0.26348214285714283,False,neutral
1P5,6.21,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
2T2,4.09,8,dlPFC,young,-0.08624708624708627,0.49588010204081634,False,neutral
0G3,9.1,8,dlPFC,young,-0.08624708624708627,0.49588010204081634,False,neutral
6L4,8.2,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
2T2,4.09,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
56K,19.93,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
6D9,13.11,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
3D1,13.11,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
5H6,11.03,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
82V,16.01,8,dlPFC,old,-0.268997668997669,0.259094387755102,False,neutral
0B9,12.11,8,dlPFC,old,-0.268997668997669,0.259094387755102,False,neutral
0B9,12.11,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
55R,14.97,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
5R4,6.25,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
2T2,4.09,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
8B3,13.09,8,dlPFC,old,-0.268997668997669,0.259094387755102,False,neutral
31S,17.0,8,dlPFC,old,-0.268997668997669,0.259094387755102,False,neutral
0G3,9.1,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
1P5,6.21,8,dlPFC,young,-0.08624708624708627,0.49588010204081634,False,neutral
55R,14.97,8,dlPFC,old,-0.4517482517482518,0.09858418367346938,False,neutral
0B9,12.11,8,dlPFC,old,0.46200466200466195,0.021964285714285714,True,neutral
0B9,12.11,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
2S2,6.31,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
1G8,7.88,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
0G3,9.1,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
8C9,12.12,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
3E4,11.99,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
1G8,7.88,8,dlPFC,young,-0.6344988344988345,0.02520408163265306,True,young_enriched
31S,17.0,8,dlPFC,old,0.8275058275058275,0.0,True,old_enriched
77V,16.15,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
0B9,12.11,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
6D9,13.11,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
8M0,8.12,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
4Q6,3.22,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
0B9,12.11,8,dlPFC,old,0.46200466200466195,0.021964285714285714,True,neutral
0B9,12.11,8,dlPFC,old,0.6447552447552447,0.002385204081632653,True,old_enriched
3E4,11.99,8,dlPFC,old,0.6447552447552447,0.002385204081632653,True,old_enriched
0B9,12.11,8,dlPFC,old,0.6447552447552447,0.002385204081632653,True,old_enriched
0B9,12.11,8,dlPFC,old,0.46200466200466195,0.021964285714285714,True,neutral
3E4,11.99,8,dlPFC,old,0.46200466200466195,0.021964285714285714,True,neutral
2S2,6.31,8,dlPFC,young,0.2792540792540792,0.09536989795918367,False,neutral
2T2,4.09,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
2T2,4.09,8,dlPFC,young,-0.08624708624708627,0.49588010204081634,False,neutral
8B3,13.09,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
5H6,11.03,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
4J6,7.15,8,dlPFC,young,0.09650349650349647,0.26348214285714283,False,neutral
2V1,4.3,8,dlPFC,young,-0.8172494172494172,0.003864795918367347,True,young_enriched
6D9,13.11,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
46Z,13.97,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
2C6,14.03,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
2T2,4.09,8,dlPFC,young,0.2792540792540792,0.09536989795918367,False,neutral
8B3,13.09,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
2V1,4.3,8,dlPFC,young,-0.6344988344988345,0.02520408163265306,True,young_enriched
77V,16.15,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
8M0,8.12,8,dlPFC,young,-1.0,0.0001913265306122449,True,young_enriched
91O,15.86,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
2C6,14.03,8,dlPFC,old,-0.268997668997669,0.259094387755102,False,neutral
2V1,4.3,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
43N,17.0,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
2I1,10.27,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
8B3,13.09,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
6D9,13.11,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
3E4,11.99,8,dlPFC,old,-0.4517482517482518,0.09858418367346938,False,neutral
6D9,13.11,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
2T2,4.09,8,dlPFC,young,-0.08624708624708627,0.49588010204081634,False,neutral
82V,16.01,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
0B9,12.11,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
0B9,12.11,8,dlPFC,old,0.6447552447552447,0.002385204081632653,True,old_enriched
0B9,12.11,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
8M0,8.12,8,dlPFC,young,0.09650349650349647,0.26348214285714283,False,neutral
97R,17.93,8,dlPFC,old,-0.4517482517482518,0.09858418367346938,False,neutral
3D1,13.11,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
7F0,11.2,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
3D1,13.11,8,dlPFC,old,-0.6344988344988345,0.02520408163265306,True,young_enriched
6D9,13.11,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
0G3,9.1,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
8M0,8.12,8,dlPFC,young,-1.0,0.0001913265306122449,True,young_enriched
6L4,8.2,8,dlPFC,young,-0.08624708624708627,0.49588010204081634,False,neutral
2T2,4.09,8,dlPFC,young,-0.6344988344988345,0.02520408163265306,True,young_enriched
3E4,11.99,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
8M0,8.12,8,dlPFC,young,-0.6344988344988345,0.02520408163265306,True,young_enriched
1G8,7.88,8,dlPFC,young,0.46200466200466195,0.021964285714285714,True,neutral
5R4,6.25,8,dlPFC,young,-0.6344988344988345,0.02520408163265306,True,young_enriched
91O,15.86,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
2I1,10.27,8,dlPFC,old,0.46200466200466195,0.021964285714285714,True,neutral
8M0,8.12,8,dlPFC,young,-0.8172494172494172,0.003864795918367347,True,young_enriched
3D1,13.11,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
5R4,6.25,8,dlPFC,young,-0.6344988344988345,0.02520408163265306,True,young_enriched
31S,17.0,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
82V,16.01,8,dlPFC,old,0.46200466200466195,0.021964285714285714,True,neutral
3E4,11.99,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
56K,19.93,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
8B3,13.09,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
8M0,8.12,8,dlPFC,young,-0.6344988344988345,0.02520408163265306,True,young_enriched
2S2,6.31,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
31S,17.0,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
4Q6,3.22,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
2S2,6.31,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
55R,14.97,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
8B3,13.09,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
56K,19.93,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
3K1,9.01,8,dlPFC,young,0.09650349650349647,0.26348214285714283,False,neutral
1G8,7.88,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
2F2,11.04,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
4Q6,3.22,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
3D1,13.11,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
1G8,7.88,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
8B3,13.09,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
2S2,6.31,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
8H2,10.13,8,dlPFC,old,-0.8172494172494172,0.003864795918367347,True,young_enriched
2T2,4.09,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
0G3,9.1,8,dlPFC,young,0.09650349650349647,0.26348214285714283,False,neutral
2S2,6.31,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
3D1,13.11,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
4J6,7.15,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
56R,14.95,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
2T2,4.09,8,dlPFC,young,0.2792540792540792,0.09536989795918367,False,neutral
91O,15.86,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
77V,16.15,8,dlPFC,old,0.46200466200466195,0.021964285714285714,True,neutral
1T9,4.11,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
1G8,7.88,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
0G3,9.1,8,dlPFC,young,-0.8172494172494172,0.003864795918367347,True,young_enriched
0B9,12.11,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
8C9,12.12,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
3D1,13.11,8,dlPFC,old,-0.4517482517482518,0.09858418367346938,False,neutral
43N,17.0,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
2T2,4.09,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
2C6,14.03,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
3D1,13.11,8,dlPFC,old,-0.268997668997669,0.259094387755102,False,neutral
2T2,4.09,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
0G3,9.1,8,dlPFC,young,0.2792540792540792,0.09536989795918367,False,neutral
1T9,4.11,8,dlPFC,young,0.09650349650349647,0.26348214285714283,False,neutral
31S,17.0,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
0G3,9.1,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
2S2,6.31,8,dlPFC,young,-0.08624708624708627,0.49588010204081634,False,neutral
5R4,6.25,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
8M0,8.12,8,dlPFC,young,-0.08624708624708627,0.49588010204081634,False,neutral
3T5,5.12,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
0B9,12.11,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
77V,16.15,8,dlPFC,old,-0.268997668997669,0.259094387755102,False,neutral
7F0,11.2,8,dlPFC,old,-0.4517482517482518,0.09858418367346938,False,neutral
5R4,6.25,8,dlPFC,young,-0.6344988344988345,0.02520408163265306,True,young_enriched
2C6,14.03,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
3E4,11.99,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
56K,19.93,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
8M0,8.12,8,dlPFC,young,-0.6344988344988345,0.02520408163265306,True,young_enriched
3D1,13.11,8,dlPFC,old,-0.4517482517482518,0.09858418367346938,False,neutral
5R4,6.25,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
2T2,4.09,8,dlPFC,young,-1.0,0.0001913265306122449,True,young_enriched
2T6,5.18,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
82V,16.01,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
2T2,4.09,8,dlPFC,young,-0.08624708624708627,0.49588010204081634,False,neutral
0B9,12.11,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
0B9,12.11,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
0B9,12.11,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
0B9,12.11,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
3D1,13.11,8,dlPFC,old,-0.6344988344988345,0.02520408163265306,True,young_enriched
82V,16.01,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
55R,14.97,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
3D1,13.11,8,dlPFC,old,-0.4517482517482518,0.09858418367346938,False,neutral
5R4,6.25,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
8H2,10.13,8,dlPFC,old,-0.6344988344988345,0.02520408163265306,True,young_enriched
3E4,11.99,8,dlPFC,old,0.46200466200466195,0.021964285714285714,True,neutral
4J6,7.15,8,dlPFC,young,0.2792540792540792,0.09536989795918367,False,neutral
0G3,9.1,8,dlPFC,young,-0.6344988344988345,0.02520408163265306,True,young_enriched
56K,19.93,8,dlPFC,old,-0.268997668997669,0.259094387755102,False,neutral
1G8,7.88,8,dlPFC,young,0.09650349650349647,0.26348214285714283,False,neutral
5R4,6.25,8,dlPFC,young,-0.6344988344988345,0.02520408163265306,True,young_enriched
2I1,10.27,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
0G3,9.1,8,dlPFC,young,-0.6344988344988345,0.02520408163265306,True,young_enriched
3E4,11.99,8,dlPFC,old,-0.8172494172494172,0.003864795918367347,True,young_enriched
2T2,4.09,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
8B3,13.09,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
0G3,9.1,8,dlPFC,young,-0.6344988344988345,0.02520408163265306,True,young_enriched
3E4,11.99,8,dlPFC,old,0.6447552447552447,0.002385204081632653,True,old_enriched
7M4,8.15,8,dlPFC,young,-0.08624708624708627,0.49588010204081634,False,neutral
3E4,11.99,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
8M0,8.12,8,dlPFC,young,-0.6344988344988345,0.02520408163265306,True,young_enriched
91O,15.86,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
43N,17.0,8,dlPFC,old,-0.4517482517482518,0.09858418367346938,False,neutral
1G8,7.88,8,dlPFC,young,-0.08624708624708627,0.49588010204081634,False,neutral
2T2,4.09,8,dlPFC,young,-0.08624708624708627,0.49588010204081634,False,neutral
0B9,12.11,8,dlPFC,old,-0.8172494172494172,0.003864795918367347,True,young_enriched
3E4,11.99,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
55R,14.97,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
3D1,13.11,8,dlPFC,old,0.09650349650349647,0.26348214285714283,False,neutral
1G8,7.88,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
1G8,7.88,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
5R4,6.25,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
2T6,5.18,8,dlPFC,young,0.09650349650349647,0.26348214285714283,False,neutral
2V1,4.3,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
5R4,6.25,8,dlPFC,young,-0.268997668997669,0.259094387755102,False,neutral
4Q6,3.22,8,dlPFC,young,-0.08624708624708627,0.49588010204081634,False,neutral
77V,16.15,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
3D1,13.11,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
1G8,7.88,8,dlPFC,young,-0.08624708624708627,0.49588010204081634,False,neutral
2T2,4.09,8,dlPFC,young,0.09650349650349647,0.26348214285714283,False,neutral
8M0,8.12,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
2T2,4.09,8,dlPFC,young,-0.4517482517482518,0.09858418367346938,False,neutral
3E4,11.99,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
56R,14.95,8,dlPFC,old,-0.08624708624708627,0.49588010204081634,False,neutral
3T5,5.12,8,dlPFC,young,0.09650349650349647,0.26348214285714283,False,neutral
8B3,13.09,8,dlPFC,old,0.2792540792540792,0.09536989795918367,False,neutral
