animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
37V,15.07,9,EC,old,0.4718309859154929,0.12785645933014353,False,neutral
3T5,5.12,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
2T2,4.09,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
7M4,8.15,9,EC,young,-0.579476861167002,0.01615311004784689,True,young_enriched
2V1,4.3,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
3T5,5.12,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
2T2,4.09,9,EC,young,-0.789738430583501,0.001598086124401914,True,young_enriched
2T6,5.18,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
3K1,9.01,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
55R,14.97,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
1G8,7.88,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
77V,16.15,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
55R,14.97,9,EC,old,0.4718309859154929,0.12785645933014353,False,neutral
2V1,4.3,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
98V,16.03,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
2C6,14.03,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
98V,16.03,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
5R4,6.25,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
4Q6,3.22,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
3T5,5.12,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
7M4,8.15,9,EC,young,-0.579476861167002,0.01615311004784689,True,young_enriched
1P5,6.21,9,EC,young,-0.789738430583501,0.001598086124401914,True,young_enriched
3R7,3.32,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
56R,14.95,9,EC,old,-0.579476861167002,0.01615311004784689,True,young_enriched
8H2,10.13,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
1G8,7.88,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
2V1,4.3,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
7F0,11.2,9,EC,old,0.6820925553319919,0.006028708133971292,True,old_enriched
2T6,5.18,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
37V,15.07,9,EC,old,0.4718309859154929,0.12785645933014353,False,neutral
3T5,5.12,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
7M4,8.15,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
6L4,8.2,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
2V1,4.3,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
77V,16.15,9,EC,old,0.4718309859154929,0.12785645933014353,False,neutral
43N,17.0,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
0B9,12.11,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
3R7,3.32,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
42T,15.96,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
46Z,13.97,9,EC,old,0.4718309859154929,0.12785645933014353,False,neutral
5H6,11.03,9,EC,old,-0.579476861167002,0.01615311004784689,True,young_enriched
56K,19.93,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
43N,17.0,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
2S6,3.17,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
98V,16.03,9,EC,old,0.6820925553319919,0.006028708133971292,True,old_enriched
50P,15.59,9,EC,old,-0.579476861167002,0.01615311004784689,True,young_enriched
5R4,6.25,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
2V1,4.3,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
1T9,4.11,9,EC,young,0.6820925553319919,0.006028708133971292,True,old_enriched
1T9,4.11,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
2S2,6.31,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
56R,14.95,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
1G8,7.88,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
1G8,7.88,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
4Q6,3.22,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
0G3,9.1,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
74K,20.81,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
6O7,6.03,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
1G8,7.88,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
6D9,13.11,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
2S2,6.31,9,EC,young,-0.579476861167002,0.01615311004784689,True,young_enriched
3K1,9.01,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
3D1,13.11,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
3T5,5.12,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
42T,15.96,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
1P5,6.21,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
7M4,8.15,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
1G8,7.88,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
42T,15.96,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
41N,16.74,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
1G8,7.88,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
7M4,8.15,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
2V1,4.3,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
0G3,9.1,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
3E4,11.99,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
2S2,6.31,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
55R,14.97,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
8H2,10.13,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
2I1,10.27,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
50P,15.59,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
7F0,11.2,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
5R4,6.25,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
0G3,9.1,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
2V1,4.3,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
1T9,4.11,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
8M0,8.12,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
0G3,9.1,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
3R7,3.32,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
3T5,5.12,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
1V8,4.31,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
8I6,9.9,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
2F2,11.04,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
1T9,4.11,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
77V,16.15,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
2S2,6.31,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
74K,20.81,9,EC,old,-0.579476861167002,0.01615311004784689,True,young_enriched
6O7,6.03,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
2V1,4.3,9,EC,young,-0.579476861167002,0.01615311004784689,True,young_enriched
98V,16.03,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
7F0,11.2,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
77V,16.15,9,EC,old,0.4718309859154929,0.12785645933014353,False,neutral
4S3,3.18,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
3R7,3.32,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
7M4,8.15,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
4Q6,3.22,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
6L4,8.2,9,EC,young,0.6820925553319919,0.006028708133971292,True,old_enriched
41N,16.74,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
2I1,10.27,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
2I1,10.27,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
6O7,6.03,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
1G8,7.88,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
2I1,10.27,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
2T2,4.09,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
2C6,14.03,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
2C6,14.03,9,EC,old,-0.579476861167002,0.01615311004784689,True,young_enriched
6D9,13.11,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
1G8,7.88,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
8H2,10.13,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
8B3,13.09,9,EC,old,-0.579476861167002,0.01615311004784689,True,young_enriched
50P,15.59,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
42T,15.96,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
1G8,7.88,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
5R4,6.25,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
3D1,13.11,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
7M4,8.15,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
0G3,9.1,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
1L1,8.17,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
1L1,8.17,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
3R7,3.32,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
8H2,10.13,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
2S2,6.31,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
56R,14.95,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
46Z,13.97,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
4Q6,3.22,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
74K,20.81,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
37V,15.07,9,EC,old,-0.579476861167002,0.01615311004784689,True,young_enriched
6O7,6.03,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
3R7,3.32,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
1G8,7.88,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
2T2,4.09,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
77V,16.15,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
3T5,5.12,9,EC,young,-0.579476861167002,0.01615311004784689,True,young_enriched
5R4,6.25,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
2T2,4.09,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
42T,15.96,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
3R7,3.32,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
7M4,8.15,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
2T6,5.18,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
7F0,11.2,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
7F0,11.2,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
8M0,8.12,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
5R4,6.25,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
2F2,11.04,9,EC,old,0.6820925553319919,0.006028708133971292,True,old_enriched
4J6,7.15,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
4S3,3.18,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
1G8,7.88,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
2S6,3.17,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
7M4,8.15,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
5H6,11.03,9,EC,old,0.4718309859154929,0.12785645933014353,False,neutral
43N,17.0,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
4Q6,3.22,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
3T5,5.12,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
42T,15.96,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
77V,16.15,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
77V,16.15,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
6O7,6.03,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
4S3,3.18,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
42T,15.96,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
2T6,5.18,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
8M0,8.12,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
3K1,9.01,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
1G8,7.88,9,EC,young,-0.579476861167002,0.01615311004784689,True,young_enriched
8C9,12.12,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
2S2,6.31,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
2T2,4.09,9,EC,young,0.6820925553319919,0.006028708133971292,True,old_enriched
55R,14.97,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
3D1,13.11,9,EC,old,-0.789738430583501,0.001598086124401914,True,young_enriched
2F2,11.04,9,EC,old,-0.579476861167002,0.01615311004784689,True,young_enriched
2F2,11.04,9,EC,old,0.4718309859154929,0.12785645933014353,False,neutral
6O7,6.03,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
2C6,14.03,9,EC,old,0.4718309859154929,0.12785645933014353,False,neutral
5R4,6.25,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
42T,15.96,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
82V,16.01,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
2S6,3.17,9,EC,young,-0.579476861167002,0.01615311004784689,True,young_enriched
1G8,7.88,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
2C6,14.03,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
5R4,6.25,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
8C9,12.12,9,EC,old,0.6820925553319919,0.006028708133971292,True,old_enriched
56R,14.95,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
8H2,10.13,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
97R,17.93,9,EC,old,0.4718309859154929,0.12785645933014353,False,neutral
46Z,13.97,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
1G8,7.88,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
37V,15.07,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
2T2,4.09,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
2F2,11.04,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
42T,15.96,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
3R7,3.32,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
8M0,8.12,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
31S,17.0,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
8M0,8.12,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
2F2,11.04,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
5R4,6.25,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
2F2,11.04,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
2T6,5.18,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
4J6,7.15,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
2V1,4.3,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
2F2,11.04,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
7M4,8.15,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
41N,16.74,9,EC,old,0.4718309859154929,0.12785645933014353,False,neutral
2I1,10.27,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
1T9,4.11,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
8M0,8.12,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
2T2,4.09,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
7M4,8.15,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
2Q0,3.21,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
8H2,10.13,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
98V,16.03,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
42T,15.96,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
7F0,11.2,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
3K1,9.01,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
8H2,10.13,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
98V,16.03,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
1L1,8.17,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
2S2,6.31,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
42T,15.96,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
31S,17.0,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
6O7,6.03,9,EC,young,-0.579476861167002,0.01615311004784689,True,young_enriched
2F2,11.04,9,EC,old,-0.579476861167002,0.01615311004784689,True,young_enriched
2T6,5.18,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
3R7,3.32,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
2T6,5.18,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
74K,20.81,9,EC,old,-0.579476861167002,0.01615311004784689,True,young_enriched
2C6,14.03,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
3E4,11.99,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
8I6,9.9,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
3T5,5.12,9,EC,young,0.6820925553319919,0.006028708133971292,True,old_enriched
2S2,6.31,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
56R,14.95,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
5R4,6.25,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
98V,16.03,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
4J6,7.15,9,EC,young,-0.579476861167002,0.01615311004784689,True,young_enriched
2I1,10.27,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
7M4,8.15,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
3R7,3.32,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
56R,14.95,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
8H2,10.13,9,EC,old,0.4718309859154929,0.12785645933014353,False,neutral
2V1,4.3,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
8H2,10.13,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
56R,14.95,9,EC,old,0.4718309859154929,0.12785645933014353,False,neutral
8H2,10.13,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
0G3,9.1,9,EC,young,0.4718309859154929,0.12785645933014353,False,neutral
3T5,5.12,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
3T5,5.12,9,EC,young,0.6820925553319919,0.006028708133971292,True,old_enriched
42T,15.96,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
2T6,5.18,9,EC,young,0.05130784708249493,0.31159808612440193,False,neutral
6L4,8.2,9,EC,young,-0.579476861167002,0.01615311004784689,True,young_enriched
0G3,9.1,9,EC,young,0.2615694164989939,0.12785645933014353,False,neutral
3T5,5.12,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
56R,14.95,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
3D1,13.11,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
3E4,11.99,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
8B3,13.09,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
4J6,7.15,9,EC,young,0.8923541247484909,0.006028708133971292,True,old_enriched
77V,16.15,9,EC,old,0.05130784708249493,0.31159808612440193,False,neutral
4S3,3.18,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
3K1,9.01,9,EC,young,-0.15895372233400407,0.44424880382775117,False,neutral
7F0,11.2,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
2C6,14.03,9,EC,old,-0.15895372233400407,0.44424880382775117,False,neutral
56K,19.93,9,EC,old,-0.36921529175050305,0.0752535885167464,False,neutral
1T9,4.11,9,EC,young,-0.36921529175050305,0.0752535885167464,False,neutral
31S,17.0,9,EC,old,0.2615694164989939,0.12785645933014353,False,neutral
