animal_id,age,louvain,region
3K1,9.01,6,NAc
50P,15.59,6,NAc
8B3,13.09,6,NAc
1T9,4.11,6,NAc
7F0,11.2,6,NAc
8C9,12.12,6,NAc
1P5,6.21,6,NAc
2T2,4.09,6,NAc
50P,15.59,6,NAc
50P,15.59,6,NAc
8B3,13.09,6,NAc
31S,17.0,6,NAc
31S,17.0,6,NAc
91O,15.86,6,NAc
1L1,8.17,6,NAc
7F0,11.2,6,NAc
3T5,5.12,6,NAc
1G8,7.88,6,NAc
8B3,13.09,6,NAc
2T6,5.18,6,NAc
6L4,8.2,6,NAc
2T2,4.09,6,NAc
7M4,8.15,6,NAc
8B3,13.09,6,NAc
8B3,13.09,6,NAc
2T6,5.18,6,NAc
2T6,5.18,6,NAc
8C9,12.12,6,NAc
2C6,14.03,6,NAc
2C6,14.03,6,NAc
1P5,6.21,6,NAc
1P5,6.21,6,NAc
2T6,5.18,6,NAc
46Z,13.97,6,NAc
7F0,11.2,6,NAc
74K,20.81,6,NAc
1P5,6.21,6,NAc
3T5,5.12,6,NAc
98V,16.03,6,NAc
8B3,13.09,6,NAc
31S,17.0,6,NAc
82V,16.01,6,NAc
6L4,8.2,6,NAc
56K,19.93,6,NAc
1T9,4.11,6,NAc
1G8,7.88,6,NAc
50P,15.59,6,NAc
46Z,13.97,6,NAc
4J6,7.15,6,NAc
41N,16.74,6,NAc
1L1,8.17,6,NAc
7F0,11.2,6,NAc
56K,19.93,6,NAc
2C6,14.03,6,NAc
2C6,14.03,6,NAc
41N,16.74,6,NAc
1G8,7.88,6,NAc
97R,17.93,6,NAc
1T9,4.11,6,NAc
1P5,6.21,6,NAc
8M0,8.12,6,NAc
3T5,5.12,6,NAc
5R4,6.25,6,NAc
50P,15.59,6,NAc
8B3,13.09,6,NAc
31S,17.0,6,NAc
56K,19.93,6,NAc
0B9,12.11,6,NAc
8M0,8.12,6,NAc
3K1,9.01,6,NAc
8H2,10.13,6,NAc
8B3,13.09,6,NAc
2I1,10.27,6,NAc
7F0,11.2,6,NAc
82V,16.01,6,NAc
43N,17.0,6,NAc
1T9,4.11,6,NAc
2T6,5.18,6,NAc
7F0,11.2,6,NAc
2I1,10.27,6,NAc
7F0,11.2,6,NAc
1T9,4.11,6,NAc
6O7,6.03,6,NAc
2C6,14.03,6,NAc
1P5,6.21,6,NAc
56K,19.93,6,NAc
1P5,6.21,6,NAc
2T2,4.09,6,NAc
31S,17.0,6,NAc
46Z,13.97,6,NAc
1L1,8.17,6,NAc
8M0,8.12,6,NAc
7M4,8.15,6,NAc
56K,19.93,6,NAc
1L1,8.17,6,NAc
7F0,11.2,6,NAc
74K,20.81,6,NAc
43N,17.0,6,NAc
5R4,6.25,6,NAc
2T6,5.18,6,NAc
41N,16.74,6,NAc
41N,16.74,6,NAc
1V8,4.31,6,NAc
56K,19.93,6,NAc
3E4,11.99,6,NAc
1P5,6.21,6,NAc
3R7,3.32,6,NAc
31S,17.0,6,NAc
31S,17.0,6,NAc
6L4,8.2,6,NAc
2V1,4.3,6,NAc
3E4,11.99,6,NAc
1P5,6.21,6,NAc
56R,14.95,6,NAc
31S,17.0,6,NAc
4S3,3.18,6,NAc
91O,15.86,6,NAc
46Z,13.97,6,NAc
8M0,8.12,6,NAc
50P,15.59,6,NAc
7M4,8.15,6,NAc
8C9,12.12,6,NAc
4Q6,3.22,6,NAc
5H6,11.03,6,NAc
7F0,11.2,6,NAc
1P5,6.21,6,NAc
91O,15.86,6,NAc
46Z,13.97,6,NAc
6L4,8.2,6,NAc
41N,16.74,6,NAc
77V,16.15,6,NAc
6O7,6.03,6,NAc
56R,14.95,6,NAc
8C9,12.12,6,NAc
2S6,3.17,6,NAc
37V,15.07,6,NAc
3K1,9.01,6,NAc
3T5,5.12,6,NAc
98V,16.03,6,NAc
8B3,13.09,6,NAc
3R7,3.32,6,NAc
8M0,8.12,6,NAc
3K1,9.01,6,NAc
8H2,10.13,6,NAc
2T2,4.09,6,NAc
4Q6,3.22,6,NAc
1T9,4.11,6,NAc
3E4,11.99,6,NAc
1P5,6.21,6,NAc
1P5,6.21,6,NAc
8H2,10.13,6,NAc
5R4,6.25,6,NAc
7M4,8.15,6,NAc
8B3,13.09,6,NAc
41N,16.74,6,NAc
37V,15.07,6,NAc
37V,15.07,6,NAc
37V,15.07,6,NAc
8M0,8.12,6,NAc
1G8,7.88,6,NAc
5R4,6.25,6,NAc
41N,16.74,6,NAc
3E4,11.99,6,NAc
3E4,11.99,6,NAc
3T5,5.12,6,NAc
8H2,10.13,6,NAc
50P,15.59,6,NAc
2T6,5.18,6,NAc
4J6,7.15,6,NAc
41N,16.74,6,NAc
41N,16.74,6,NAc
1T9,4.11,6,NAc
3T5,5.12,6,NAc
7M4,8.15,6,NAc
31S,17.0,6,NAc
91O,15.86,6,NAc
3E4,11.99,6,NAc
1P5,6.21,6,NAc
91O,15.86,6,NAc
4J6,7.15,6,NAc
1L1,8.17,6,NAc
7F0,11.2,6,NAc
7F0,11.2,6,NAc
56K,19.93,6,NAc
0B9,12.11,6,NAc
91O,15.86,6,NAc
4J6,7.15,6,NAc
1L1,8.17,6,NAc
1T9,4.11,6,NAc
3R7,3.32,6,NAc
2T2,4.09,6,NAc
50P,15.59,6,NAc
2T6,5.18,6,NAc
2I1,10.27,6,NAc
1L1,8.17,6,NAc
3E4,11.99,6,NAc
5R4,6.25,6,NAc
2T2,4.09,6,NAc
41N,16.74,6,NAc
3E4,11.99,6,NAc
8M0,8.12,6,NAc
98V,16.03,6,NAc
50P,15.59,6,NAc
4Q6,3.22,6,NAc
1P5,6.21,6,NAc
1P5,6.21,6,NAc
8H2,10.13,6,NAc
50P,15.59,6,NAc
37V,15.07,6,NAc
7M4,8.15,6,NAc
4J6,7.15,6,NAc
74K,20.81,6,NAc
3E4,11.99,6,NAc
8M0,8.12,6,NAc
5R4,6.25,6,NAc
5R4,6.25,6,NAc
31S,17.0,6,NAc
4S3,3.18,6,NAc
1V8,4.31,6,NAc
0B9,12.11,6,NAc
1T9,4.11,6,NAc
1P5,6.21,6,NAc
5R4,6.25,6,NAc
2T2,4.09,6,NAc
50P,15.59,6,NAc
50P,15.59,6,NAc
50P,15.59,6,NAc
7M4,8.15,6,NAc
41N,16.74,6,NAc
2V1,4.3,6,NAc
1P5,6.21,6,NAc
91O,15.86,6,NAc
2V1,4.3,6,NAc
43N,17.0,6,NAc
3E4,11.99,6,NAc
1P5,6.21,6,NAc
1P5,6.21,6,NAc
3R7,3.32,6,NAc
37V,15.07,6,NAc
8M0,8.12,6,NAc
8M0,8.12,6,NAc
8H2,10.13,6,NAc
2T6,5.18,6,NAc
41N,16.74,6,NAc
8M0,8.12,6,NAc
7M4,8.15,6,NAc
7M4,8.15,6,NAc
3R7,3.32,6,NAc
3T5,5.12,6,NAc
8H2,10.13,6,NAc
98V,16.03,6,NAc
31S,17.0,6,NAc
4S3,3.18,6,NAc
56K,19.93,6,NAc
1T9,4.11,6,NAc
2C6,14.03,6,NAc
37V,15.07,6,NAc
50P,15.59,6,NAc
2V1,4.3,6,NAc
3E4,11.99,6,NAc
1P5,6.21,6,NAc
1P5,6.21,6,NAc
50P,15.59,6,NAc
8B3,13.09,6,NAc
8B3,13.09,6,NAc
7F0,11.2,6,NAc
6L4,8.2,6,NAc
41N,16.74,6,NAc
2I1,10.27,6,NAc
1L1,8.17,6,NAc
7F0,11.2,6,NAc
74K,20.81,6,NAc
8M0,8.12,6,NAc
82V,16.01,6,NAc
91O,15.86,6,NAc
46Z,13.97,6,NAc
2I1,10.27,6,NAc
8C9,12.12,6,NAc
3E4,11.99,6,NAc
5R4,6.25,6,NAc
98V,16.03,6,NAc
2T6,5.18,6,NAc
7F0,11.2,6,NAc
6L4,8.2,6,NAc
82V,16.01,6,NAc
3R7,3.32,6,NAc
37V,15.07,6,NAc
8M0,8.12,6,NAc
5R4,6.25,6,NAc
2T6,5.18,6,NAc
4S3,3.18,6,NAc
6L4,8.2,6,NAc
6L4,8.2,6,NAc
1L1,8.17,6,NAc
1T9,4.11,6,NAc
2C6,14.03,6,NAc
8M0,8.12,6,NAc
1L1,8.17,6,NAc
0G3,9.1,6,NAc
37V,15.07,6,NAc
3K1,9.01,6,NAc
7M4,8.15,6,NAc
2T6,5.18,6,NAc
2V1,4.3,6,NAc
2C6,14.03,6,NAc
56R,14.95,6,NAc
1G8,7.88,6,NAc
1G8,7.88,6,NAc
8B3,13.09,6,NAc
31S,17.0,6,NAc
2V1,4.3,6,NAc
7F0,11.2,6,NAc
0G3,9.1,6,NAc
82V,16.01,6,NAc
0B9,12.11,6,NAc
8M0,8.12,6,NAc
98V,16.03,6,NAc
50P,15.59,6,NAc
8B3,13.09,6,NAc
6O7,6.03,6,NAc
1P5,6.21,6,NAc
1P5,6.21,6,NAc
7M4,8.15,6,NAc
82V,16.01,6,NAc
3E4,11.99,6,NAc
3E4,11.99,6,NAc
1P5,6.21,6,NAc
3K1,9.01,6,NAc
98V,16.03,6,NAc
50P,15.59,6,NAc
8C9,12.12,6,NAc
1V8,4.31,6,NAc
82V,16.01,6,NAc
8C9,12.12,6,NAc
3R7,3.32,6,NAc
3K1,9.01,6,NAc
55R,14.97,6,NAc
43N,17.0,6,NAc
0B9,12.11,6,NAc
5R4,6.25,6,NAc
98V,16.03,6,NAc
98V,16.03,6,NAc
4S3,3.18,6,NAc
91O,15.86,6,NAc
2T6,5.18,6,NAc
31S,17.0,6,NAc
4Q6,3.22,6,NAc
2V1,4.3,6,NAc
7F0,11.2,6,NAc
3E4,11.99,6,NAc
1P5,6.21,6,NAc
56R,14.95,6,NAc
74K,20.81,6,NAc
82V,16.01,6,NAc
8H2,10.13,6,NAc
8B3,13.09,6,NAc
31S,17.0,6,NAc
31S,17.0,6,NAc
5H6,11.03,6,NAc
4J6,7.15,6,NAc
3E4,11.99,6,NAc
37V,15.07,6,NAc
4S3,3.18,6,NAc
1P5,6.21,6,NAc
3R7,3.32,6,NAc
50P,15.59,6,NAc
2T6,5.18,6,NAc
4S3,3.18,6,NAc
4J6,7.15,6,NAc
56K,19.93,6,NAc
0B9,12.11,6,NAc
1T9,4.11,6,NAc
2C6,14.03,6,NAc
1G8,7.88,6,NAc
7M4,8.15,6,NAc
8B3,13.09,6,NAc
0G3,9.1,6,NAc
3E4,11.99,6,NAc
1G8,7.88,6,NAc
4S3,3.18,6,NAc
56K,19.93,6,NAc
1T9,4.11,6,NAc
3K1,9.01,6,NAc
3K1,9.01,6,NAc
55R,14.97,6,NAc
74K,20.81,6,NAc
1P5,6.21,6,NAc
1P5,6.21,6,NAc
5R4,6.25,6,NAc
98V,16.03,6,NAc
2I1,10.27,6,NAc
7F0,11.2,6,NAc
3D1,13.11,6,NAc
3T5,5.12,6,NAc
1T9,4.11,6,NAc
3R7,3.32,6,NAc
8H2,10.13,6,NAc
5R4,6.25,6,NAc
98V,16.03,6,NAc
98V,16.03,6,NAc
50P,15.59,6,NAc
7M4,8.15,6,NAc
2T6,5.18,6,NAc
7F0,11.2,6,NAc
3E4,11.99,6,NAc
3R7,3.32,6,NAc
50P,15.59,6,NAc
2T6,5.18,6,NAc
4Q6,3.22,6,NAc
1T9,4.11,6,NAc
2C6,14.03,6,NAc
1P5,6.21,6,NAc
1P5,6.21,6,NAc
5R4,6.25,6,NAc
2T2,4.09,6,NAc
50P,15.59,6,NAc
2T6,5.18,6,NAc
1L1,8.17,6,NAc
4S3,3.18,6,NAc
0B9,12.11,6,NAc
1T9,4.11,6,NAc
6L4,8.2,6,NAc
3R7,3.32,6,NAc
55R,14.97,6,NAc
55R,14.97,6,NAc
50P,15.59,6,NAc
6L4,8.2,6,NAc
2I1,10.27,6,NAc
1L1,8.17,6,NAc
1V8,4.31,6,NAc
1P5,6.21,6,NAc
2S2,6.31,6,NAc
3T5,5.12,6,NAc
50P,15.59,6,NAc
7F0,11.2,6,NAc
2C6,14.03,6,NAc
3K1,9.01,6,NAc
1G8,7.88,6,NAc
42T,15.96,6,NAc
4Q6,3.22,6,NAc
7M4,8.15,6,NAc
2V1,4.3,6,NAc
7F0,11.2,6,NAc
4S3,3.18,6,NAc
4J6,7.15,6,NAc
2V1,4.3,6,NAc
56K,19.93,6,NAc
3T5,5.12,6,NAc
8H2,10.13,6,NAc
2I1,10.27,6,NAc
1P5,6.21,6,NAc
5R4,6.25,6,NAc
1L1,8.17,6,NAc
3E4,11.99,6,NAc
50P,15.59,6,NAc
2I1,10.27,6,NAc
4Q6,3.22,6,NAc
2V1,4.3,6,NAc
7F0,11.2,6,NAc
8H2,10.13,6,NAc
50P,15.59,6,NAc
4S3,3.18,6,NAc
4Q6,3.22,6,NAc
1V8,4.31,6,NAc
1P5,6.21,6,NAc
37V,15.07,6,NAc
1G8,7.88,6,NAc
8H2,10.13,6,NAc
2T2,4.09,6,NAc
4Q6,3.22,6,NAc
4Q6,3.22,6,NAc
6L4,8.2,6,NAc
74K,20.81,6,NAc
37V,15.07,6,NAc
55R,14.97,6,NAc
98V,16.03,6,NAc
2Q0,3.21,6,NAc
7M4,8.15,6,NAc
8I6,9.9,6,NAc
2T2,4.09,6,NAc
31S,17.0,6,NAc
4S3,3.18,6,NAc
4J6,7.15,6,NAc
41N,16.74,6,NAc
2I1,10.27,6,NAc
2I1,10.27,6,NAc
1L1,8.17,6,NAc
6O7,6.03,6,NAc
1P5,6.21,6,NAc
5R4,6.25,6,NAc
7M4,8.15,6,NAc
2I1,10.27,6,NAc
1P5,6.21,6,NAc
2T2,4.09,6,NAc
8B3,13.09,6,NAc
4S3,3.18,6,NAc
56K,19.93,6,NAc
3E4,11.99,6,NAc
1P5,6.21,6,NAc
2T2,4.09,6,NAc
1V8,4.31,6,NAc
82V,16.01,6,NAc
1P5,6.21,6,NAc
3K1,9.01,6,NAc
3K1,9.01,6,NAc
31S,17.0,6,NAc
4S3,3.18,6,NAc
91O,15.86,6,NAc
6L4,8.2,6,NAc
3D1,13.11,6,NAc
3T5,5.12,6,NAc
5R4,6.25,6,NAc
5R4,6.25,6,NAc
8B3,13.09,6,NAc
2V1,4.3,6,NAc
1T9,4.11,6,NAc
8I6,9.9,6,NAc
3T5,5.12,6,NAc
8B3,13.09,6,NAc
2I1,10.27,6,NAc
1P5,6.21,6,NAc
2T2,4.09,6,NAc
8B3,13.09,6,NAc
2T6,5.18,6,NAc
31S,17.0,6,NAc
2I1,10.27,6,NAc
1L1,8.17,6,NAc
8M0,8.12,6,NAc
8H2,10.13,6,NAc
8C9,12.12,6,NAc
91O,15.86,6,NAc
3E4,11.99,6,NAc
3R7,3.32,6,NAc
55R,14.97,6,NAc
50P,15.59,6,NAc
2I1,10.27,6,NAc
3E4,11.99,6,NAc
8I6,9.9,6,NAc
8M0,8.12,6,NAc
8H2,10.13,6,NAc
98V,16.03,6,NAc
2T6,5.18,6,NAc
2C6,14.03,6,NAc
4S3,3.18,6,NAc
4Q6,3.22,6,NAc
2V1,4.3,6,NAc
2V1,4.3,6,NAc
50P,15.59,6,NAc
8B3,13.09,6,NAc
2I1,10.27,6,NAc
1V8,4.31,6,NAc
7F0,11.2,6,NAc
1P5,6.21,6,NAc
5R4,6.25,6,NAc
46Z,13.97,6,NAc
1V8,4.31,6,NAc
1T9,4.11,6,NAc
4S3,3.18,6,NAc
2I1,10.27,6,NAc
1L1,8.17,6,NAc
7F0,11.2,6,NAc
1P5,6.21,6,NAc
8M0,8.12,6,NAc
7M4,8.15,6,NAc
2T6,5.18,6,NAc
6L4,8.2,6,NAc
6L4,8.2,6,NAc
0B9,12.11,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
1P5,6.21,6,NAc
1P5,6.21,6,NAc
1P5,6.21,6,NAc
8H2,10.13,6,NAc
50P,15.59,6,NAc
46Z,13.97,6,NAc
7F0,11.2,6,NAc
3E4,11.99,6,NAc
8H2,10.13,6,NAc
0B9,12.11,6,NAc
4S3,3.18,6,NAc
1V8,4.31,6,NAc
77V,16.15,6,NAc
1P5,6.21,6,NAc
8M0,8.12,6,NAc
1G8,7.88,6,NAc
1G8,7.88,6,NAc
8B3,13.09,6,NAc
2T6,5.18,6,NAc
41N,16.74,6,NAc
91O,15.86,6,NAc
7F0,11.2,6,NAc
5R4,6.25,6,NAc
50P,15.59,6,NAc
2I1,10.27,6,NAc
56K,19.93,6,NAc
2I1,10.27,6,NAc
74K,20.81,6,NAc
0B9,12.11,6,NAc
1P5,6.21,6,NAc
46Z,13.97,6,NAc
41N,16.74,6,NAc
7F0,11.2,6,NAc
98V,16.03,6,NAc
1G8,7.88,6,NAc
50P,15.59,6,NAc
2T6,5.18,6,NAc
4Q6,3.22,6,NAc
2C6,14.03,6,NAc
1P5,6.21,6,NAc
2S6,3.17,6,NAc
5R4,6.25,6,NAc
8H2,10.13,6,NAc
5R4,6.25,6,NAc
2T2,4.09,6,NAc
8B3,13.09,6,NAc
2T6,5.18,6,NAc
2V1,4.3,6,NAc
4S3,3.18,6,NAc
7F0,11.2,6,NAc
2S6,3.17,6,NAc
8M0,8.12,6,NAc
5R4,6.25,6,NAc
50P,15.59,6,NAc
7M4,8.15,6,NAc
6L4,8.2,6,NAc
2I1,10.27,6,NAc
7F0,11.2,6,NAc
3E4,11.99,6,NAc
3E4,11.99,6,NAc
8I6,9.9,6,NAc
7F0,11.2,6,NAc
4S3,3.18,6,NAc
4S3,3.18,6,NAc
4J6,7.15,6,NAc
41N,16.74,6,NAc
3E4,11.99,6,NAc
1G8,7.88,6,NAc
50P,15.59,6,NAc
1L1,8.17,6,NAc
2C6,14.03,6,NAc
3E4,11.99,6,NAc
37V,15.07,6,NAc
3K1,9.01,6,NAc
8H2,10.13,6,NAc
8B3,13.09,6,NAc
2T6,5.18,6,NAc
2T6,5.18,6,NAc
4J6,7.15,6,NAc
6L4,8.2,6,NAc
2I1,10.27,6,NAc
1V8,4.31,6,NAc
0B9,12.11,6,NAc
8I6,9.9,6,NAc
3T5,5.12,6,NAc
5R4,6.25,6,NAc
7M4,8.15,6,NAc
74K,20.81,6,NAc
56K,19.93,6,NAc
6O7,6.03,6,NAc
1P5,6.21,6,NAc
3T5,5.12,6,NAc
3T5,5.12,6,NAc
1G8,7.88,6,NAc
7M4,8.15,6,NAc
8B3,13.09,6,NAc
2I1,10.27,6,NAc
7M4,8.15,6,NAc
46Z,13.97,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
7M4,8.15,6,NAc
31S,17.0,6,NAc
91O,15.86,6,NAc
1G8,7.88,6,NAc
1G8,7.88,6,NAc
5R4,6.25,6,NAc
98V,16.03,6,NAc
4S3,3.18,6,NAc
1V8,4.31,6,NAc
2S6,3.17,6,NAc
2T2,4.09,6,NAc
7M4,8.15,6,NAc
8H2,10.13,6,NAc
7M4,8.15,6,NAc
43N,17.0,6,NAc
3E4,11.99,6,NAc
4S3,3.18,6,NAc
1T9,4.11,6,NAc
8H2,10.13,6,NAc
2I1,10.27,6,NAc
2I1,10.27,6,NAc
1T9,4.11,6,NAc
8M0,8.12,6,NAc
0B9,12.11,6,NAc
46Z,13.97,6,NAc
41N,16.74,6,NAc
1L1,8.17,6,NAc
3R7,3.32,6,NAc
46Z,13.97,6,NAc
41N,16.74,6,NAc
4J6,7.15,6,NAc
4S3,3.18,6,NAc
91O,15.86,6,NAc
1L1,8.17,6,NAc
7F0,11.2,6,NAc
8C9,12.12,6,NAc
4Q6,3.22,6,NAc
1L1,8.17,6,NAc
1V8,4.31,6,NAc
8H2,10.13,6,NAc
7M4,8.15,6,NAc
7M4,8.15,6,NAc
8H2,10.13,6,NAc
4S3,3.18,6,NAc
3K1,9.01,6,NAc
56R,14.95,6,NAc
98V,16.03,6,NAc
1P5,6.21,6,NAc
8M0,8.12,6,NAc
55R,14.97,6,NAc
3E4,11.99,6,NAc
8M0,8.12,6,NAc
4J6,7.15,6,NAc
4J6,7.15,6,NAc
8I6,9.9,6,NAc
1G8,7.88,6,NAc
7M4,8.15,6,NAc
91O,15.86,6,NAc
3E4,11.99,6,NAc
8M0,8.12,6,NAc
3T5,5.12,6,NAc
31S,17.0,6,NAc
6L4,8.2,6,NAc
1T9,4.11,6,NAc
56R,14.95,6,NAc
55R,14.97,6,NAc
8H2,10.13,6,NAc
1T9,4.11,6,NAc
2C6,14.03,6,NAc
3R7,3.32,6,NAc
1G8,7.88,6,NAc
91O,15.86,6,NAc
91O,15.86,6,NAc
4J6,7.15,6,NAc
1L1,8.17,6,NAc
1T9,4.11,6,NAc
1P5,6.21,6,NAc
98V,16.03,6,NAc
50P,15.59,6,NAc
8B3,13.09,6,NAc
31S,17.0,6,NAc
1T9,4.11,6,NAc
4Q6,3.22,6,NAc
7F0,11.2,6,NAc
7F0,11.2,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
5R4,6.25,6,NAc
98V,16.03,6,NAc
7F0,11.2,6,NAc
7M4,8.15,6,NAc
42T,15.96,6,NAc
2T2,4.09,6,NAc
7F0,11.2,6,NAc
2I1,10.27,6,NAc
91O,15.86,6,NAc
1L1,8.17,6,NAc
1P5,6.21,6,NAc
2T6,5.18,6,NAc
4S3,3.18,6,NAc
41N,16.74,6,NAc
37V,15.07,6,NAc
4J6,7.15,6,NAc
41N,16.74,6,NAc
7F0,11.2,6,NAc
8C9,12.12,6,NAc
37V,15.07,6,NAc
8M0,8.12,6,NAc
5R4,6.25,6,NAc
98V,16.03,6,NAc
50P,15.59,6,NAc
