animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
0B9,12.11,1,ACC,old,-0.18328445747800584,0.3396229802513465,False,neutral
8C9,12.12,1,ACC,old,0.30674486803519063,0.18430623236727367,False,neutral
2S6,3.17,1,ACC,young,0.30674486803519063,0.18430623236727367,False,neutral
8C9,12.12,1,ACC,old,0.14340175953079182,0.18430623236727367,False,neutral
31S,17.0,1,ACC,old,0.30674486803519063,0.18430623236727367,False,neutral
8C9,12.12,1,ACC,old,0.4700879765395895,0.007150551423441908,True,neutral
97R,17.93,1,ACC,old,0.14340175953079182,0.18430623236727367,False,neutral
2I1,10.27,1,ACC,old,0.14340175953079182,0.18430623236727367,False,neutral
2V1,4.3,1,ACC,young,-0.5099706744868036,0.010253911259297257,True,young_enriched
7F0,11.2,1,ACC,old,0.14340175953079182,0.18430623236727367,False,neutral
74K,20.81,1,ACC,old,0.30674486803519063,0.18430623236727367,False,neutral
74K,20.81,1,ACC,old,0.6334310850439883,0.0,True,old_enriched
8C9,12.12,1,ACC,old,0.4700879765395895,0.007150551423441908,True,neutral
2C6,14.03,1,ACC,old,-0.019941348973607012,0.3396229802513465,False,neutral
8M0,8.12,1,ACC,young,-0.019941348973607012,0.3396229802513465,False,neutral
1G8,7.88,1,ACC,young,-0.019941348973607012,0.3396229802513465,False,neutral
97R,17.93,1,ACC,old,0.30674486803519063,0.18430623236727367,False,neutral
8B3,13.09,1,ACC,old,0.30674486803519063,0.18430623236727367,False,neutral
42T,15.96,1,ACC,old,0.30674486803519063,0.18430623236727367,False,neutral
4Q6,3.22,1,ACC,young,-0.5099706744868036,0.010253911259297257,True,young_enriched
43N,17.0,1,ACC,old,0.14340175953079182,0.18430623236727367,False,neutral
8M0,8.12,1,ACC,young,-0.019941348973607012,0.3396229802513465,False,neutral
56R,14.95,1,ACC,old,-0.5099706744868036,0.010253911259297257,True,young_enriched
1G8,7.88,1,ACC,young,-0.18328445747800584,0.3396229802513465,False,neutral
7M4,8.15,1,ACC,young,0.14340175953079182,0.18430623236727367,False,neutral
2T6,5.18,1,ACC,young,0.4700879765395895,0.007150551423441908,True,neutral
1V8,4.31,1,ACC,young,0.14340175953079182,0.18430623236727367,False,neutral
56K,19.93,1,ACC,old,-0.019941348973607012,0.3396229802513465,False,neutral
56K,19.93,1,ACC,old,0.4700879765395895,0.007150551423441908,True,neutral
8C9,12.12,1,ACC,old,0.30674486803519063,0.18430623236727367,False,neutral
