animal_id,age,louvain,region
4J6,7.15,22,HIP
82V,16.01,22,HIP
2Q0,3.21,22,HIP
8M0,8.12,22,HIP
8I6,9.9,22,HIP
2Q0,3.21,22,HIP
97R,17.93,22,HIP
74K,20.81,22,HIP
1P5,6.21,22,HIP
4S3,3.18,22,HIP
2V1,4.3,22,HIP
5R4,6.25,22,HIP
0G3,9.1,22,HIP
4S3,3.18,22,HIP
4Q6,3.22,22,HIP
4J6,7.15,22,HIP
77V,16.15,22,HIP
3E4,11.99,22,HIP
2T6,5.18,22,HIP
8I6,9.9,22,HIP
2T2,4.09,22,HIP
4S3,3.18,22,HIP
7M4,8.15,22,HIP
2S6,3.17,22,HIP
82V,16.01,22,HIP
0G3,9.1,22,HIP
2S6,3.17,22,HIP
2S6,3.17,22,HIP
82V,16.01,22,HIP
2T2,4.09,22,HIP
37V,15.07,22,HIP
6O7,6.03,22,HIP
6O7,6.03,22,HIP
5R4,6.25,22,HIP
77V,16.15,22,HIP
43N,17.0,22,HIP
2V1,4.3,22,HIP
8M0,8.12,22,HIP
37V,15.07,22,HIP
0G3,9.1,22,HIP
37V,15.07,22,HIP
8C9,12.12,22,HIP
8I6,9.9,22,HIP
97R,17.93,22,HIP
4Q6,3.22,22,HIP
2S2,6.31,22,HIP
8C9,12.12,22,HIP
8C9,12.12,22,HIP
82V,16.01,22,HIP
2S6,3.17,22,HIP
8M0,8.12,22,HIP
46Z,13.97,22,HIP
4Q6,3.22,22,HIP
82V,16.01,22,HIP
8C9,12.12,22,HIP
8B3,13.09,22,HIP
0B9,12.11,22,HIP
0B9,12.11,22,HIP
0B9,12.11,22,HIP
8C9,12.12,22,HIP
55R,14.97,22,HIP
7F0,11.2,22,HIP
0G3,9.1,22,HIP
4S3,3.18,22,HIP
2V1,4.3,22,HIP
97R,17.93,22,HIP
0G3,9.1,22,HIP
2Q0,3.21,22,HIP
98V,16.03,22,HIP
77V,16.15,22,HIP
4Q6,3.22,22,HIP
3R7,3.32,22,HIP
82V,16.01,22,HIP
2S6,3.17,22,HIP
77V,16.15,22,HIP
7M4,8.15,22,HIP
2S2,6.31,22,HIP
1P5,6.21,22,HIP
77V,16.15,22,HIP
2C6,14.03,22,HIP
50P,15.59,22,HIP
8M0,8.12,22,HIP
2Q0,3.21,22,HIP
2V1,4.3,22,HIP
2V1,4.3,22,HIP
1P5,6.21,22,HIP
5R4,6.25,22,HIP
0G3,9.1,22,HIP
6O7,6.03,22,HIP
2S6,3.17,22,HIP
82V,16.01,22,HIP
2T2,4.09,22,HIP
3E4,11.99,22,HIP
1P5,6.21,22,HIP
8C9,12.12,22,HIP
6O7,6.03,22,HIP
3E4,11.99,22,HIP
2S6,3.17,22,HIP
1P5,6.21,22,HIP
2S2,6.31,22,HIP
8I6,9.9,22,HIP
56R,14.95,22,HIP
5H6,11.03,22,HIP
82V,16.01,22,HIP
3E4,11.99,22,HIP
8H2,10.13,22,HIP
3E4,11.99,22,HIP
1P5,6.21,22,HIP
2Q0,3.21,22,HIP
4S3,3.18,22,HIP
1G8,7.88,22,HIP
82V,16.01,22,HIP
82V,16.01,22,HIP
2S6,3.17,22,HIP
1P5,6.21,22,HIP
2Q0,3.21,22,HIP
8B3,13.09,22,HIP
0B9,12.11,22,HIP
7F0,11.2,22,HIP
43N,17.0,22,HIP
4S3,3.18,22,HIP
2T6,5.18,22,HIP
6O7,6.03,22,HIP
4S3,3.18,22,HIP
6D9,13.11,22,HIP
4S3,3.18,22,HIP
4S3,3.18,22,HIP
0B9,12.11,22,HIP
4S3,3.18,22,HIP
