animal_id,age,louvain,region
2S6,3.17,11,IPP
42T,15.96,11,IPP
2T6,5.18,11,IPP
31S,17.0,11,IPP
31S,17.0,11,IPP
91O,15.86,11,IPP
4Q6,3.22,11,IPP
4Q6,3.22,11,IPP
4J6,7.15,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
2I1,10.27,11,IPP
4S3,3.18,11,IPP
4S3,3.18,11,IPP
77V,16.15,11,IPP
77V,16.15,11,IPP
2C0,11.0,11,IPP
7F0,11.2,11,IPP
7F0,11.2,11,IPP
74K,20.81,11,IPP
74K,20.81,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
43N,17.0,11,IPP
43N,17.0,11,IPP
43N,17.0,11,IPP
6O7,6.03,11,IPP
6O7,6.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
3E4,11.99,11,IPP
1P5,6.21,11,IPP
2Q0,3.21,11,IPP
8M0,8.12,11,IPP
3T5,5.12,11,IPP
8H2,10.13,11,IPP
8B3,13.09,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
2T6,5.18,11,IPP
91O,15.86,11,IPP
91O,15.86,11,IPP
46Z,13.97,11,IPP
46Z,13.97,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
4S3,3.18,11,IPP
2V1,4.3,11,IPP
77V,16.15,11,IPP
7F0,11.2,11,IPP
7F0,11.2,11,IPP
7F0,11.2,11,IPP
74K,20.81,11,IPP
82V,16.01,11,IPP
56K,19.93,11,IPP
6O7,6.03,11,IPP
6O7,6.03,11,IPP
2C6,14.03,11,IPP
3E4,11.99,11,IPP
1P5,6.21,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
2Q0,3.21,11,IPP
2S6,3.17,11,IPP
2S6,3.17,11,IPP
1L1,8.17,11,IPP
3T5,5.12,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
31S,17.0,11,IPP
31S,17.0,11,IPP
5H6,11.03,11,IPP
5H6,11.03,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
2I1,10.27,11,IPP
1V8,4.31,11,IPP
2V1,4.3,11,IPP
77V,16.15,11,IPP
77V,16.15,11,IPP
77V,16.15,11,IPP
2C0,11.0,11,IPP
2C0,11.0,11,IPP
7F0,11.2,11,IPP
7F0,11.2,11,IPP
74K,20.81,11,IPP
74K,20.81,11,IPP
74K,20.81,11,IPP
82V,16.01,11,IPP
56K,19.93,11,IPP
43N,17.0,11,IPP
43N,17.0,11,IPP
8C9,12.12,11,IPP
8C9,12.12,11,IPP
8C9,12.12,11,IPP
1T9,4.11,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
1P5,6.21,11,IPP
1P5,6.21,11,IPP
1P5,6.21,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8B3,13.09,11,IPP
42T,15.96,11,IPP
2T6,5.18,11,IPP
91O,15.86,11,IPP
4J6,7.15,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
2I1,10.27,11,IPP
2I1,10.27,11,IPP
2I1,10.27,11,IPP
2I1,10.27,11,IPP
1V8,4.31,11,IPP
1V8,4.31,11,IPP
1V8,4.31,11,IPP
1V8,4.31,11,IPP
77V,16.15,11,IPP
2C0,11.0,11,IPP
2C0,11.0,11,IPP
7F0,11.2,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
8C9,12.12,11,IPP
8C9,12.12,11,IPP
8C9,12.12,11,IPP
1T9,4.11,11,IPP
6O7,6.03,11,IPP
3E4,11.99,11,IPP
1P5,6.21,11,IPP
8I6,9.9,11,IPP
2Q0,3.21,11,IPP
2S6,3.17,11,IPP
2S6,3.17,11,IPP
56R,14.95,11,IPP
8B3,13.09,11,IPP
2T6,5.18,11,IPP
2T6,5.18,11,IPP
5H6,11.03,11,IPP
6L4,8.2,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
2I1,10.27,11,IPP
2I1,10.27,11,IPP
4S3,3.18,11,IPP
4S3,3.18,11,IPP
1V8,4.31,11,IPP
1V8,4.31,11,IPP
1V8,4.31,11,IPP
2V1,4.3,11,IPP
77V,16.15,11,IPP
77V,16.15,11,IPP
2C0,11.0,11,IPP
7F0,11.2,11,IPP
7F0,11.2,11,IPP
74K,20.81,11,IPP
74K,20.81,11,IPP
82V,16.01,11,IPP
43N,17.0,11,IPP
0B9,12.11,11,IPP
0B9,12.11,11,IPP
8C9,12.12,11,IPP
8C9,12.12,11,IPP
1T9,4.11,11,IPP
6O7,6.03,11,IPP
6O7,6.03,11,IPP
6O7,6.03,11,IPP
6O7,6.03,11,IPP
6O7,6.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
1P5,6.21,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
2S6,3.17,11,IPP
8B3,13.09,11,IPP
42T,15.96,11,IPP
2T6,5.18,11,IPP
2T6,5.18,11,IPP
31S,17.0,11,IPP
91O,15.86,11,IPP
46Z,13.97,11,IPP
4Q6,3.22,11,IPP
4Q6,3.22,11,IPP
6L4,8.2,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
2I1,10.27,11,IPP
4S3,3.18,11,IPP
4S3,3.18,11,IPP
1V8,4.31,11,IPP
1V8,4.31,11,IPP
2V1,4.3,11,IPP
2C0,11.0,11,IPP
7F0,11.2,11,IPP
7F0,11.2,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
43N,17.0,11,IPP
0B9,12.11,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
1P5,6.21,11,IPP
2S6,3.17,11,IPP
37V,15.07,11,IPP
8H2,10.13,11,IPP
91O,15.86,11,IPP
91O,15.86,11,IPP
5H6,11.03,11,IPP
5H6,11.03,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
2I1,10.27,11,IPP
2I1,10.27,11,IPP
1V8,4.31,11,IPP
1V8,4.31,11,IPP
77V,16.15,11,IPP
77V,16.15,11,IPP
2C0,11.0,11,IPP
7F0,11.2,11,IPP
7F0,11.2,11,IPP
74K,20.81,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
56K,19.93,11,IPP
0B9,12.11,11,IPP
8C9,12.12,11,IPP
6O7,6.03,11,IPP
2C6,14.03,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
1P5,6.21,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
2S6,3.17,11,IPP
1L1,8.17,11,IPP
8B3,13.09,11,IPP
8B3,13.09,11,IPP
91O,15.86,11,IPP
46Z,13.97,11,IPP
46Z,13.97,11,IPP
5H6,11.03,11,IPP
4J6,7.15,11,IPP
41N,16.74,11,IPP
4S3,3.18,11,IPP
1V8,4.31,11,IPP
1V8,4.31,11,IPP
1V8,4.31,11,IPP
77V,16.15,11,IPP
77V,16.15,11,IPP
7F0,11.2,11,IPP
0G3,9.1,11,IPP
56K,19.93,11,IPP
8C9,12.12,11,IPP
8C9,12.12,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
2Q0,3.21,11,IPP
1L1,8.17,11,IPP
1L1,8.17,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
2T6,5.18,11,IPP
31S,17.0,11,IPP
4Q6,3.22,11,IPP
4J6,7.15,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
41N,16.74,11,IPP
4S3,3.18,11,IPP
1V8,4.31,11,IPP
2V1,4.3,11,IPP
2V1,4.3,11,IPP
77V,16.15,11,IPP
7F0,11.2,11,IPP
7F0,11.2,11,IPP
7F0,11.2,11,IPP
74K,20.81,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
1T9,4.11,11,IPP
2C6,14.03,11,IPP
3E4,11.99,11,IPP
1P5,6.21,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
2Q0,3.21,11,IPP
2S6,3.17,11,IPP
2S6,3.17,11,IPP
2S6,3.17,11,IPP
8B3,13.09,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
91O,15.86,11,IPP
91O,15.86,11,IPP
5H6,11.03,11,IPP
4J6,7.15,11,IPP
6L4,8.2,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
2I1,10.27,11,IPP
2I1,10.27,11,IPP
4S3,3.18,11,IPP
2V1,4.3,11,IPP
2V1,4.3,11,IPP
77V,16.15,11,IPP
2C0,11.0,11,IPP
7F0,11.2,11,IPP
7F0,11.2,11,IPP
7F0,11.2,11,IPP
0G3,9.1,11,IPP
74K,20.81,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
43N,17.0,11,IPP
43N,17.0,11,IPP
0B9,12.11,11,IPP
0B9,12.11,11,IPP
8C9,12.12,11,IPP
1T9,4.11,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
1P5,6.21,11,IPP
1P5,6.21,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
2Q0,3.21,11,IPP
2S6,3.17,11,IPP
55R,14.97,11,IPP
31S,17.0,11,IPP
31S,17.0,11,IPP
5H6,11.03,11,IPP
4J6,7.15,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
2C0,11.0,11,IPP
2C0,11.0,11,IPP
7F0,11.2,11,IPP
7F0,11.2,11,IPP
0G3,9.1,11,IPP
0B9,12.11,11,IPP
8C9,12.12,11,IPP
1T9,4.11,11,IPP
6O7,6.03,11,IPP
6O7,6.03,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
1P5,6.21,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
2S6,3.17,11,IPP
8H2,10.13,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
31S,17.0,11,IPP
46Z,13.97,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
4S3,3.18,11,IPP
1V8,4.31,11,IPP
1V8,4.31,11,IPP
77V,16.15,11,IPP
77V,16.15,11,IPP
7F0,11.2,11,IPP
0G3,9.1,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
0B9,12.11,11,IPP
8C9,12.12,11,IPP
6O7,6.03,11,IPP
6O7,6.03,11,IPP
2C6,14.03,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8B3,13.09,11,IPP
42T,15.96,11,IPP
31S,17.0,11,IPP
91O,15.86,11,IPP
91O,15.86,11,IPP
46Z,13.97,11,IPP
4J6,7.15,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
2I1,10.27,11,IPP
4S3,3.18,11,IPP
1V8,4.31,11,IPP
2V1,4.3,11,IPP
77V,16.15,11,IPP
77V,16.15,11,IPP
2C0,11.0,11,IPP
2C0,11.0,11,IPP
2C0,11.0,11,IPP
2C0,11.0,11,IPP
7F0,11.2,11,IPP
0G3,9.1,11,IPP
0G3,9.1,11,IPP
74K,20.81,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
56K,19.93,11,IPP
0B9,12.11,11,IPP
0B9,12.11,11,IPP
0B9,12.11,11,IPP
8C9,12.12,11,IPP
1T9,4.11,11,IPP
6O7,6.03,11,IPP
6O7,6.03,11,IPP
2C6,14.03,11,IPP
1P5,6.21,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
2Q0,3.21,11,IPP
8B3,13.09,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
2T6,5.18,11,IPP
31S,17.0,11,IPP
31S,17.0,11,IPP
5H6,11.03,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
2I1,10.27,11,IPP
2I1,10.27,11,IPP
1V8,4.31,11,IPP
77V,16.15,11,IPP
77V,16.15,11,IPP
2C0,11.0,11,IPP
2C0,11.0,11,IPP
0G3,9.1,11,IPP
74K,20.81,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
43N,17.0,11,IPP
43N,17.0,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
8I6,9.9,11,IPP
2Q0,3.21,11,IPP
2Q0,3.21,11,IPP
2Q0,3.21,11,IPP
2Q0,3.21,11,IPP
2S6,3.17,11,IPP
2S6,3.17,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
31S,17.0,11,IPP
91O,15.86,11,IPP
91O,15.86,11,IPP
91O,15.86,11,IPP
5H6,11.03,11,IPP
4J6,7.15,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
2I1,10.27,11,IPP
2I1,10.27,11,IPP
4S3,3.18,11,IPP
4S3,3.18,11,IPP
4S3,3.18,11,IPP
2C0,11.0,11,IPP
2C0,11.0,11,IPP
7F0,11.2,11,IPP
7F0,11.2,11,IPP
0G3,9.1,11,IPP
0G3,9.1,11,IPP
0G3,9.1,11,IPP
0G3,9.1,11,IPP
74K,20.81,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
56K,19.93,11,IPP
56K,19.93,11,IPP
56K,19.93,11,IPP
56K,19.93,11,IPP
43N,17.0,11,IPP
6O7,6.03,11,IPP
6O7,6.03,11,IPP
6O7,6.03,11,IPP
2C6,14.03,11,IPP
3E4,11.99,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
2Q0,3.21,11,IPP
2Q0,3.21,11,IPP
2S6,3.17,11,IPP
2S6,3.17,11,IPP
2S6,3.17,11,IPP
1L1,8.17,11,IPP
8H2,10.13,11,IPP
8B3,13.09,11,IPP
8B3,13.09,11,IPP
2T6,5.18,11,IPP
2T6,5.18,11,IPP
31S,17.0,11,IPP
31S,17.0,11,IPP
31S,17.0,11,IPP
31S,17.0,11,IPP
31S,17.0,11,IPP
91O,15.86,11,IPP
91O,15.86,11,IPP
91O,15.86,11,IPP
5H6,11.03,11,IPP
5H6,11.03,11,IPP
5H6,11.03,11,IPP
4J6,7.15,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
4S3,3.18,11,IPP
4S3,3.18,11,IPP
77V,16.15,11,IPP
77V,16.15,11,IPP
7F0,11.2,11,IPP
7F0,11.2,11,IPP
7F0,11.2,11,IPP
82V,16.01,11,IPP
43N,17.0,11,IPP
43N,17.0,11,IPP
8C9,12.12,11,IPP
1T9,4.11,11,IPP
1T9,4.11,11,IPP
6O7,6.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
3E4,11.99,11,IPP
1P5,6.21,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
2S6,3.17,11,IPP
2S6,3.17,11,IPP
2S6,3.17,11,IPP
8B3,13.09,11,IPP
31S,17.0,11,IPP
31S,17.0,11,IPP
91O,15.86,11,IPP
91O,15.86,11,IPP
5H6,11.03,11,IPP
5H6,11.03,11,IPP
4J6,7.15,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
2I1,10.27,11,IPP
2I1,10.27,11,IPP
4S3,3.18,11,IPP
4S3,3.18,11,IPP
4S3,3.18,11,IPP
4S3,3.18,11,IPP
1V8,4.31,11,IPP
2V1,4.3,11,IPP
77V,16.15,11,IPP
2C0,11.0,11,IPP
7F0,11.2,11,IPP
0G3,9.1,11,IPP
82V,16.01,11,IPP
0B9,12.11,11,IPP
0B9,12.11,11,IPP
8C9,12.12,11,IPP
1T9,4.11,11,IPP
1T9,4.11,11,IPP
1T9,4.11,11,IPP
6O7,6.03,11,IPP
6O7,6.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
1P5,6.21,11,IPP
1P5,6.21,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
2Q0,3.21,11,IPP
2Q0,3.21,11,IPP
2S6,3.17,11,IPP
3D1,13.11,11,IPP
31S,17.0,11,IPP
4Q6,3.22,11,IPP
4J6,7.15,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
2I1,10.27,11,IPP
2I1,10.27,11,IPP
2I1,10.27,11,IPP
4S3,3.18,11,IPP
4S3,3.18,11,IPP
1V8,4.31,11,IPP
2C0,11.0,11,IPP
7F0,11.2,11,IPP
0G3,9.1,11,IPP
0G3,9.1,11,IPP
74K,20.81,11,IPP
0B9,12.11,11,IPP
8C9,12.12,11,IPP
1T9,4.11,11,IPP
1T9,4.11,11,IPP
6O7,6.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
3E4,11.99,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
2Q0,3.21,11,IPP
2S6,3.17,11,IPP
2S6,3.17,11,IPP
2F2,11.04,11,IPP
97R,17.93,11,IPP
8B3,13.09,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
31S,17.0,11,IPP
31S,17.0,11,IPP
31S,17.0,11,IPP
91O,15.86,11,IPP
5H6,11.03,11,IPP
5H6,11.03,11,IPP
4J6,7.15,11,IPP
4J6,7.15,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
4S3,3.18,11,IPP
1V8,4.31,11,IPP
2V1,4.3,11,IPP
2C0,11.0,11,IPP
0G3,9.1,11,IPP
0G3,9.1,11,IPP
74K,20.81,11,IPP
74K,20.81,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
8C9,12.12,11,IPP
1T9,4.11,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
8I6,9.9,11,IPP
2S6,3.17,11,IPP
37V,15.07,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
42T,15.96,11,IPP
2T6,5.18,11,IPP
4Q6,3.22,11,IPP
4J6,7.15,11,IPP
4J6,7.15,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
6L4,8.2,11,IPP
41N,16.74,11,IPP
41N,16.74,11,IPP
4S3,3.18,11,IPP
1V8,4.31,11,IPP
2V1,4.3,11,IPP
77V,16.15,11,IPP
7F0,11.2,11,IPP
0G3,9.1,11,IPP
74K,20.81,11,IPP
74K,20.81,11,IPP
74K,20.81,11,IPP
74K,20.81,11,IPP
82V,16.01,11,IPP
82V,16.01,11,IPP
0B9,12.11,11,IPP
8C9,12.12,11,IPP
8C9,12.12,11,IPP
8C9,12.12,11,IPP
8C9,12.12,11,IPP
1T9,4.11,11,IPP
6O7,6.03,11,IPP
6O7,6.03,11,IPP
2C6,14.03,11,IPP
2C6,14.03,11,IPP
3E4,11.99,11,IPP
3E4,11.99,11,IPP
1P5,6.21,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
8I6,9.9,11,IPP
2Q0,3.21,11,IPP
2S6,3.17,11,IPP
8B3,13.09,11,IPP
42T,15.96,11,IPP
2T6,5.18,11,IPP
31S,17.0,11,IPP
31S,17.0,11,IPP
31S,17.0,11,IPP
31S,17.0,11,IPP
91O,15.86,11,IPP
