animal_id,age,louvain,region
2Q0,3.21,15,CN
42T,15.96,15,CN
4S3,3.18,15,CN
43N,17.0,15,CN
77V,16.15,15,CN
82V,16.01,15,CN
8M0,8.12,15,CN
8I6,9.9,15,CN
2Q0,3.21,15,CN
42T,15.96,15,CN
7M4,8.15,15,CN
43N,17.0,15,CN
43N,17.0,15,CN
3K1,9.01,15,CN
2F2,11.04,15,CN
6L4,8.2,15,CN
77V,16.15,15,CN
2F2,11.04,15,CN
2T6,5.18,15,CN
43N,17.0,15,CN
2F2,11.04,15,CN
74K,20.81,15,CN
8M0,8.12,15,CN
42T,15.96,15,CN
55R,14.97,15,CN
74K,20.81,15,CN
43N,17.0,15,CN
3K1,9.01,15,CN
42T,15.96,15,CN
43N,17.0,15,CN
55R,14.97,15,CN
46Z,13.97,15,CN
2C6,14.03,15,CN
3D1,13.11,15,CN
2Q0,3.21,15,CN
2Q0,3.21,15,CN
31S,17.0,15,CN
6L4,8.2,15,CN
77V,16.15,15,CN
77V,16.15,15,CN
1T9,4.11,15,CN
31S,17.0,15,CN
2T6,5.18,15,CN
4S3,3.18,15,CN
37V,15.07,15,CN
3D1,13.11,15,CN
8B3,13.09,15,CN
41N,16.74,15,CN
4Q6,3.22,15,CN
4J6,7.15,15,CN
8I6,9.9,15,CN
2F2,11.04,15,CN
5H6,11.03,15,CN
1P5,6.21,15,CN
42T,15.96,15,CN
6L4,8.2,15,CN
77V,16.15,15,CN
74K,20.81,15,CN
8I6,9.9,15,CN
3T5,5.12,15,CN
43N,17.0,15,CN
4J6,7.15,15,CN
91O,15.86,15,CN
50P,15.59,15,CN
3D1,13.11,15,CN
4S3,3.18,15,CN
2I1,10.27,15,CN
2Q0,3.21,15,CN
8H2,10.13,15,CN
1V8,4.31,15,CN
2Q0,3.21,15,CN
8I6,9.9,15,CN
91O,15.86,15,CN
1V8,4.31,15,CN
2Q0,3.21,15,CN
4S3,3.18,15,CN
2T6,5.18,15,CN
2Q0,3.21,15,CN
4J6,7.15,15,CN
42T,15.96,15,CN
8B3,13.09,15,CN
6L4,8.2,15,CN
77V,16.15,15,CN
8M0,8.12,15,CN
8C9,12.12,15,CN
2F2,11.04,15,CN
31S,17.0,15,CN
1V8,4.31,15,CN
4J6,7.15,15,CN
43N,17.0,15,CN
8H2,10.13,15,CN
43N,17.0,15,CN
2T2,4.09,15,CN
8M0,8.12,15,CN
82V,16.01,15,CN
1G8,7.88,15,CN
2Q0,3.21,15,CN
6O7,6.03,15,CN
74K,20.81,15,CN
4J6,7.15,15,CN
2C6,14.03,15,CN
98V,16.03,15,CN
2T6,5.18,15,CN
97R,17.93,15,CN
77V,16.15,15,CN
74K,20.81,15,CN
6L4,8.2,15,CN
6L4,8.2,15,CN
56R,14.95,15,CN
43N,17.0,15,CN
42T,15.96,15,CN
77V,16.15,15,CN
77V,16.15,15,CN
3E4,11.99,15,CN
42T,15.96,15,CN
74K,20.81,15,CN
7M4,8.15,15,CN
1G8,7.88,15,CN
8H2,10.13,15,CN
43N,17.0,15,CN
8M0,8.12,15,CN
2F2,11.04,15,CN
4S3,3.18,15,CN
3T5,5.12,15,CN
31S,17.0,15,CN
3D1,13.11,15,CN
2F2,11.04,15,CN
31S,17.0,15,CN
0B9,12.11,15,CN
43N,17.0,15,CN
97R,17.93,15,CN
8M0,8.12,15,CN
3K1,9.01,15,CN
8M0,8.12,15,CN
1V8,4.31,15,CN
1G8,7.88,15,CN
5H6,11.03,15,CN
77V,16.15,15,CN
43N,17.0,15,CN
4S3,3.18,15,CN
77V,16.15,15,CN
74K,20.81,15,CN
1P5,6.21,15,CN
2F2,11.04,15,CN
0B9,12.11,15,CN
2Q0,3.21,15,CN
1V8,4.31,15,CN
77V,16.15,15,CN
6L4,8.2,15,CN
43N,17.0,15,CN
4J6,7.15,15,CN
41N,16.74,15,CN
55R,14.97,15,CN
77V,16.15,15,CN
91O,15.86,15,CN
43N,17.0,15,CN
56R,14.95,15,CN
2T6,5.18,15,CN
3D1,13.11,15,CN
8M0,8.12,15,CN
31S,17.0,15,CN
8H2,10.13,15,CN
7M4,8.15,15,CN
4J6,7.15,15,CN
8I6,9.9,15,CN
7M4,8.15,15,CN
77V,16.15,15,CN
7M4,8.15,15,CN
7M4,8.15,15,CN
7M4,8.15,15,CN
77V,16.15,15,CN
8I6,9.9,15,CN
8H2,10.13,15,CN
55R,14.97,15,CN
56K,19.93,15,CN
2F2,11.04,15,CN
46Z,13.97,15,CN
42T,15.96,15,CN
6L4,8.2,15,CN
8M0,8.12,15,CN
8M0,8.12,15,CN
3T5,5.12,15,CN
4J6,7.15,15,CN
2V1,4.3,15,CN
56K,19.93,15,CN
77V,16.15,15,CN
2Q0,3.21,15,CN
8M0,8.12,15,CN
8M0,8.12,15,CN
8M0,8.12,15,CN
1V8,4.31,15,CN
2Q0,3.21,15,CN
74K,20.81,15,CN
8I6,9.9,15,CN
43N,17.0,15,CN
2C6,14.03,15,CN
8M0,8.12,15,CN
4J6,7.15,15,CN
74K,20.81,15,CN
43N,17.0,15,CN
77V,16.15,15,CN
2Q0,3.21,15,CN
8I6,9.9,15,CN
74K,20.81,15,CN
4J6,7.15,15,CN
74K,20.81,15,CN
4J6,7.15,15,CN
2Q0,3.21,15,CN
2I1,10.27,15,CN
