animal_id,age,louvain,region
56R,14.95,0,NAc
3T5,5.12,0,NAc
1G8,7.88,0,NAc
97R,17.93,0,NAc
56K,19.93,0,NAc
56K,19.93,0,NAc
8I6,9.9,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
8C9,12.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
1L1,8.17,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3D1,13.11,0,NAc
3T5,5.12,0,NAc
7M4,8.15,0,NAc
0G3,9.1,0,NAc
0G3,9.1,0,NAc
56K,19.93,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
56K,19.93,0,NAc
56K,19.93,0,NAc
8I6,9.9,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
43N,17.0,0,NAc
1L1,8.17,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
1G8,7.88,0,NAc
41N,16.74,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
97R,17.93,0,NAc
82V,16.01,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
8C9,12.12,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
8C9,12.12,0,NAc
2S6,3.17,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
0G3,9.1,0,NAc
8I6,9.9,0,NAc
8I6,9.9,0,NAc
8M0,8.12,0,NAc
3D1,13.11,0,NAc
97R,17.93,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
1G8,7.88,0,NAc
97R,17.93,0,NAc
0G3,9.1,0,NAc
8C9,12.12,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
3D1,13.11,0,NAc
3T5,5.12,0,NAc
3T5,5.12,0,NAc
2F2,11.04,0,NAc
56K,19.93,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3D1,13.11,0,NAc
77V,16.15,0,NAc
46Z,13.97,0,NAc
0G3,9.1,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
1G8,7.88,0,NAc
46Z,13.97,0,NAc
41N,16.74,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
0G3,9.1,0,NAc
2S6,3.17,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3D1,13.11,0,NAc
3D1,13.11,0,NAc
2S6,3.17,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
2T6,5.18,0,NAc
0G3,9.1,0,NAc
8I6,9.9,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
3T5,5.12,0,NAc
3T5,5.12,0,NAc
1G8,7.88,0,NAc
8I6,9.9,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
0G3,9.1,0,NAc
2S6,3.17,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
46Z,13.97,0,NAc
56K,19.93,0,NAc
2S6,3.17,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
8M0,8.12,0,NAc
3D1,13.11,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
2T6,5.18,0,NAc
8I6,9.9,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
3T5,5.12,0,NAc
98V,16.03,0,NAc
0G3,9.1,0,NAc
56K,19.93,0,NAc
8C9,12.12,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
1G8,7.88,0,NAc
0G3,9.1,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
0G3,9.1,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
1L1,8.17,0,NAc
6O7,6.03,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
97R,17.93,0,NAc
97R,17.93,0,NAc
1L1,8.17,0,NAc
0G3,9.1,0,NAc
8I6,9.9,0,NAc
2S6,3.17,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
3T5,5.12,0,NAc
0G3,9.1,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
7M4,8.15,0,NAc
97R,17.93,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
3D1,13.11,0,NAc
3T5,5.12,0,NAc
8H2,10.13,0,NAc
0G3,9.1,0,NAc
2S6,3.17,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
0G3,9.1,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
1G8,7.88,0,NAc
97R,17.93,0,NAc
8I6,9.9,0,NAc
2S6,3.17,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
97R,17.93,0,NAc
2T6,5.18,0,NAc
91O,15.86,0,NAc
0G3,9.1,0,NAc
8M0,8.12,0,NAc
97R,17.93,0,NAc
2T6,5.18,0,NAc
0G3,9.1,0,NAc
82V,16.01,0,NAc
8I6,9.9,0,NAc
56R,14.95,0,NAc
37V,15.07,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
6L4,8.2,0,NAc
0G3,9.1,0,NAc
0G3,9.1,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
82V,16.01,0,NAc
0G3,9.1,0,NAc
8C9,12.12,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
97R,17.93,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
8C9,12.12,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3D1,13.11,0,NAc
3T5,5.12,0,NAc
3T5,5.12,0,NAc
1L1,8.17,0,NAc
0G3,9.1,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3D1,13.11,0,NAc
3D1,13.11,0,NAc
2T6,5.18,0,NAc
0G3,9.1,0,NAc
8C9,12.12,0,NAc
8C9,12.12,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
8C9,12.12,0,NAc
8I6,9.9,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
3T5,5.12,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
3D1,13.11,0,NAc
98V,16.03,0,NAc
56K,19.93,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
3D1,13.11,0,NAc
0G3,9.1,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
0G3,9.1,0,NAc
0G3,9.1,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
3T5,5.12,0,NAc
1T9,4.11,0,NAc
0G3,9.1,0,NAc
0G3,9.1,0,NAc
0G3,9.1,0,NAc
0G3,9.1,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3D1,13.11,0,NAc
3T5,5.12,0,NAc
3T5,5.12,0,NAc
8C9,12.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
2I1,10.27,0,NAc
8C9,12.12,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
56K,19.93,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
3T5,5.12,0,NAc
56K,19.93,0,NAc
2S6,3.17,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
97R,17.93,0,NAc
0G3,9.1,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3D1,13.11,0,NAc
3T5,5.12,0,NAc
7M4,8.15,0,NAc
97R,17.93,0,NAc
1T9,4.11,0,NAc
8I6,9.9,0,NAc
2S6,3.17,0,NAc
37V,15.07,0,NAc
56R,14.95,0,NAc
3D1,13.11,0,NAc
8C9,12.12,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3D1,13.11,0,NAc
3T5,5.12,0,NAc
8H2,10.13,0,NAc
97R,17.93,0,NAc
6O7,6.03,0,NAc
77V,16.15,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
97R,17.93,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
3D1,13.11,0,NAc
97R,17.93,0,NAc
46Z,13.97,0,NAc
56K,19.93,0,NAc
2S6,3.17,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
8C9,12.12,0,NAc
8I6,9.9,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
82V,16.01,0,NAc
0G3,9.1,0,NAc
1T9,4.11,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
3T5,5.12,0,NAc
97R,17.93,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
3T5,5.12,0,NAc
2F2,11.04,0,NAc
0G3,9.1,0,NAc
0G3,9.1,0,NAc
1T9,4.11,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
3D1,13.11,0,NAc
0G3,9.1,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
3T5,5.12,0,NAc
46Z,13.97,0,NAc
56K,19.93,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
56K,19.93,0,NAc
0G3,9.1,0,NAc
2S6,3.17,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3D1,13.11,0,NAc
3T5,5.12,0,NAc
0G3,9.1,0,NAc
56R,14.95,0,NAc
8H2,10.13,0,NAc
0G3,9.1,0,NAc
0G3,9.1,0,NAc
82V,16.01,0,NAc
8I6,9.9,0,NAc
37V,15.07,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
2T6,5.18,0,NAc
46Z,13.97,0,NAc
0G3,9.1,0,NAc
8C9,12.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
77V,16.15,0,NAc
0G3,9.1,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
0G3,9.1,0,NAc
0G3,9.1,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
0G3,9.1,0,NAc
8I6,9.9,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
2F2,11.04,0,NAc
0G3,9.1,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
8H2,10.13,0,NAc
46Z,13.97,0,NAc
0G3,9.1,0,NAc
8I6,9.9,0,NAc
2S6,3.17,0,NAc
56R,14.95,0,NAc
37V,15.07,0,NAc
56R,14.95,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
8H2,10.13,0,NAc
7M4,8.15,0,NAc
0G3,9.1,0,NAc
2S6,3.17,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
3T5,5.12,0,NAc
8C9,12.12,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
8M0,8.12,0,NAc
3T5,5.12,0,NAc
97R,17.93,0,NAc
0G3,9.1,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
3D1,13.11,0,NAc
97R,17.93,0,NAc
8C9,12.12,0,NAc
1L1,8.17,0,NAc
1P5,6.21,0,NAc
37V,15.07,0,NAc
2F2,11.04,0,NAc
0G3,9.1,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
6O7,6.03,0,NAc
4J6,7.15,0,NAc
0G3,9.1,0,NAc
43N,17.0,0,NAc
8C9,12.12,0,NAc
8I6,9.9,0,NAc
2S6,3.17,0,NAc
2S6,3.17,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
0G3,9.1,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
0G3,9.1,0,NAc
82V,16.01,0,NAc
37V,15.07,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
1G8,7.88,0,NAc
97R,17.93,0,NAc
0G3,9.1,0,NAc
8I6,9.9,0,NAc
8I6,9.9,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
0G3,9.1,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3D1,13.11,0,NAc
37V,15.07,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
3T5,5.12,0,NAc
98V,16.03,0,NAc
0G3,9.1,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
1G8,7.88,0,NAc
37V,15.07,0,NAc
3T5,5.12,0,NAc
1L1,8.17,0,NAc
0G3,9.1,0,NAc
0G3,9.1,0,NAc
0G3,9.1,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
2F2,11.04,0,NAc
2F2,11.04,0,NAc
2F2,11.04,0,NAc
56K,19.93,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
1G8,7.88,0,NAc
0G3,9.1,0,NAc
8I6,9.9,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
8M0,8.12,0,NAc
1T9,4.11,0,NAc
0G3,9.1,0,NAc
37V,15.07,0,NAc
8M0,8.12,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
56R,14.95,0,NAc
3T5,5.12,0,NAc
1G8,7.88,0,NAc
0G3,9.1,0,NAc
0G3,9.1,0,NAc
