animal_id,age,louvain,region
77V,16.15,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
2C6,14.03,2,dlPFC
0B9,12.11,2,dlPFC
8H2,10.13,2,dlPFC
74K,20.81,2,dlPFC
4S3,3.18,2,dlPFC
41N,16.74,2,dlPFC
2V1,4.3,2,dlPFC
77V,16.15,2,dlPFC
74K,20.81,2,dlPFC
0B9,12.11,2,dlPFC
4S3,3.18,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
8B3,13.09,2,dlPFC
91O,15.86,2,dlPFC
77V,16.15,2,dlPFC
77V,16.15,2,dlPFC
0B9,12.11,2,dlPFC
8C9,12.12,2,dlPFC
6O7,6.03,2,dlPFC
1P5,6.21,2,dlPFC
4S3,3.18,2,dlPFC
0B9,12.11,2,dlPFC
5R4,6.25,2,dlPFC
46Z,13.97,2,dlPFC
77V,16.15,2,dlPFC
56K,19.93,2,dlPFC
4S3,3.18,2,dlPFC
3T5,5.12,2,dlPFC
97R,17.93,2,dlPFC
91O,15.86,2,dlPFC
4J6,7.15,2,dlPFC
2V1,4.3,2,dlPFC
77V,16.15,2,dlPFC
74K,20.81,2,dlPFC
74K,20.81,2,dlPFC
3E4,11.99,2,dlPFC
3E4,11.99,2,dlPFC
1P5,6.21,2,dlPFC
41N,16.74,2,dlPFC
2V1,4.3,2,dlPFC
82V,16.01,2,dlPFC
82V,16.01,2,dlPFC
56K,19.93,2,dlPFC
1V8,4.31,2,dlPFC
82V,16.01,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
3K1,9.01,2,dlPFC
56R,14.95,2,dlPFC
2F2,11.04,2,dlPFC
31S,17.0,2,dlPFC
41N,16.74,2,dlPFC
77V,16.15,2,dlPFC
56K,19.93,2,dlPFC
0B9,12.11,2,dlPFC
3E4,11.99,2,dlPFC
3E4,11.99,2,dlPFC
3E4,11.99,2,dlPFC
82V,16.01,2,dlPFC
6D9,13.11,2,dlPFC
3K1,9.01,2,dlPFC
3K1,9.01,2,dlPFC
5R4,6.25,2,dlPFC
42T,15.96,2,dlPFC
41N,16.74,2,dlPFC
0G3,9.1,2,dlPFC
0G3,9.1,2,dlPFC
82V,16.01,2,dlPFC
82V,16.01,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
2S6,3.17,2,dlPFC
55R,14.97,2,dlPFC
8H2,10.13,2,dlPFC
98V,16.03,2,dlPFC
31S,17.0,2,dlPFC
46Z,13.97,2,dlPFC
4J6,7.15,2,dlPFC
4J6,7.15,2,dlPFC
41N,16.74,2,dlPFC
41N,16.74,2,dlPFC
2V1,4.3,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
6O7,6.03,2,dlPFC
6O7,6.03,2,dlPFC
3E4,11.99,2,dlPFC
4S3,3.18,2,dlPFC
77V,16.15,2,dlPFC
6D9,13.11,2,dlPFC
3K1,9.01,2,dlPFC
3D1,13.11,2,dlPFC
2T2,4.09,2,dlPFC
6L4,8.2,2,dlPFC
77V,16.15,2,dlPFC
7F0,11.2,2,dlPFC
56K,19.93,2,dlPFC
6O7,6.03,2,dlPFC
2S2,6.31,2,dlPFC
3D1,13.11,2,dlPFC
8H2,10.13,2,dlPFC
46Z,13.97,2,dlPFC
5H6,11.03,2,dlPFC
41N,16.74,2,dlPFC
0B9,12.11,2,dlPFC
8C9,12.12,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
56R,14.95,2,dlPFC
8H2,10.13,2,dlPFC
2V1,4.3,2,dlPFC
77V,16.15,2,dlPFC
0G3,9.1,2,dlPFC
74K,20.81,2,dlPFC
56K,19.93,2,dlPFC
56K,19.93,2,dlPFC
2S6,3.17,2,dlPFC
91O,15.86,2,dlPFC
46Z,13.97,2,dlPFC
0G3,9.1,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
3E4,11.99,2,dlPFC
82V,16.01,2,dlPFC
6D9,13.11,2,dlPFC
46Z,13.97,2,dlPFC
5H6,11.03,2,dlPFC
4J6,7.15,2,dlPFC
4J6,7.15,2,dlPFC
2I1,10.27,2,dlPFC
77V,16.15,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
2C6,14.03,2,dlPFC
3E4,11.99,2,dlPFC
4S3,3.18,2,dlPFC
6L4,8.2,2,dlPFC
82V,16.01,2,dlPFC
55R,14.97,2,dlPFC
3T5,5.12,2,dlPFC
1G8,7.88,2,dlPFC
5R4,6.25,2,dlPFC
5R4,6.25,2,dlPFC
8B3,13.09,2,dlPFC
46Z,13.97,2,dlPFC
2I1,10.27,2,dlPFC
77V,16.15,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
2C6,14.03,2,dlPFC
2C6,14.03,2,dlPFC
2C6,14.03,2,dlPFC
3K1,9.01,2,dlPFC
56R,14.95,2,dlPFC
5R4,6.25,2,dlPFC
5R4,6.25,2,dlPFC
5R4,6.25,2,dlPFC
77V,16.15,2,dlPFC
0G3,9.1,2,dlPFC
82V,16.01,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
6D9,13.11,2,dlPFC
46Z,13.97,2,dlPFC
74K,20.81,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
37V,15.07,2,dlPFC
8H2,10.13,2,dlPFC
42T,15.96,2,dlPFC
31S,17.0,2,dlPFC
31S,17.0,2,dlPFC
46Z,13.97,2,dlPFC
41N,16.74,2,dlPFC
41N,16.74,2,dlPFC
77V,16.15,2,dlPFC
0G3,9.1,2,dlPFC
82V,16.01,2,dlPFC
6O7,6.03,2,dlPFC
3E4,11.99,2,dlPFC
82V,16.01,2,dlPFC
82V,16.01,2,dlPFC
82V,16.01,2,dlPFC
6D9,13.11,2,dlPFC
3T5,5.12,2,dlPFC
91O,15.86,2,dlPFC
41N,16.74,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
8C9,12.12,2,dlPFC
2C6,14.03,2,dlPFC
77V,16.15,2,dlPFC
82V,16.01,2,dlPFC
6D9,13.11,2,dlPFC
3T5,5.12,2,dlPFC
5R4,6.25,2,dlPFC
98V,16.03,2,dlPFC
42T,15.96,2,dlPFC
4J6,7.15,2,dlPFC
0B9,12.11,2,dlPFC
3E4,11.99,2,dlPFC
6D9,13.11,2,dlPFC
55R,14.97,2,dlPFC
98V,16.03,2,dlPFC
31S,17.0,2,dlPFC
46Z,13.97,2,dlPFC
31S,17.0,2,dlPFC
41N,16.74,2,dlPFC
41N,16.74,2,dlPFC
82V,16.01,2,dlPFC
56K,19.93,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
43N,17.0,2,dlPFC
0B9,12.11,2,dlPFC
1G8,7.88,2,dlPFC
8H2,10.13,2,dlPFC
91O,15.86,2,dlPFC
4Q6,3.22,2,dlPFC
4J6,7.15,2,dlPFC
6L4,8.2,2,dlPFC
41N,16.74,2,dlPFC
41N,16.74,2,dlPFC
41N,16.74,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
82V,16.01,2,dlPFC
1G8,7.88,2,dlPFC
8H2,10.13,2,dlPFC
8H2,10.13,2,dlPFC
8B3,13.09,2,dlPFC
0B9,12.11,2,dlPFC
4S3,3.18,2,dlPFC
4S3,3.18,2,dlPFC
5R4,6.25,2,dlPFC
91O,15.86,2,dlPFC
46Z,13.97,2,dlPFC
41N,16.74,2,dlPFC
41N,16.74,2,dlPFC
77V,16.15,2,dlPFC
0B9,12.11,2,dlPFC
2Q0,3.21,2,dlPFC
0B9,12.11,2,dlPFC
3D1,13.11,2,dlPFC
5R4,6.25,2,dlPFC
8B3,13.09,2,dlPFC
6L4,8.2,2,dlPFC
77V,16.15,2,dlPFC
77V,16.15,2,dlPFC
0G3,9.1,2,dlPFC
0G3,9.1,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
6O7,6.03,2,dlPFC
1P5,6.21,2,dlPFC
3T5,5.12,2,dlPFC
5R4,6.25,2,dlPFC
97R,17.93,2,dlPFC
42T,15.96,2,dlPFC
31S,17.0,2,dlPFC
5H6,11.03,2,dlPFC
77V,16.15,2,dlPFC
82V,16.01,2,dlPFC
56K,19.93,2,dlPFC
43N,17.0,2,dlPFC
0B9,12.11,2,dlPFC
2C6,14.03,2,dlPFC
3D1,13.11,2,dlPFC
5R4,6.25,2,dlPFC
31S,17.0,2,dlPFC
41N,16.74,2,dlPFC
74K,20.81,2,dlPFC
82V,16.01,2,dlPFC
56K,19.93,2,dlPFC
43N,17.0,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
3E4,11.99,2,dlPFC
3K1,9.01,2,dlPFC
3D1,13.11,2,dlPFC
8H2,10.13,2,dlPFC
5R4,6.25,2,dlPFC
31S,17.0,2,dlPFC
46Z,13.97,2,dlPFC
0B9,12.11,2,dlPFC
6O7,6.03,2,dlPFC
2C6,14.03,2,dlPFC
2C6,14.03,2,dlPFC
2Q0,3.21,2,dlPFC
4S3,3.18,2,dlPFC
82V,16.01,2,dlPFC
6D9,13.11,2,dlPFC
5R4,6.25,2,dlPFC
42T,15.96,2,dlPFC
31S,17.0,2,dlPFC
46Z,13.97,2,dlPFC
31S,17.0,2,dlPFC
6L4,8.2,2,dlPFC
77V,16.15,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
6O7,6.03,2,dlPFC
0B9,12.11,2,dlPFC
6D9,13.11,2,dlPFC
3T5,5.12,2,dlPFC
3T5,5.12,2,dlPFC
1G8,7.88,2,dlPFC
8H2,10.13,2,dlPFC
5R4,6.25,2,dlPFC
91O,15.86,2,dlPFC
4J6,7.15,2,dlPFC
41N,16.74,2,dlPFC
82V,16.01,2,dlPFC
2T2,4.09,2,dlPFC
2T2,4.09,2,dlPFC
31S,17.0,2,dlPFC
91O,15.86,2,dlPFC
41N,16.74,2,dlPFC
77V,16.15,2,dlPFC
56K,19.93,2,dlPFC
56K,19.93,2,dlPFC
2C6,14.03,2,dlPFC
56K,19.93,2,dlPFC
6D9,13.11,2,dlPFC
3K1,9.01,2,dlPFC
2T2,4.09,2,dlPFC
2F2,11.04,2,dlPFC
42T,15.96,2,dlPFC
8H2,10.13,2,dlPFC
41N,16.74,2,dlPFC
56K,19.93,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
6O7,6.03,2,dlPFC
2C6,14.03,2,dlPFC
2C6,14.03,2,dlPFC
6L4,8.2,2,dlPFC
77V,16.15,2,dlPFC
6D9,13.11,2,dlPFC
55R,14.97,2,dlPFC
8H2,10.13,2,dlPFC
5R4,6.25,2,dlPFC
5R4,6.25,2,dlPFC
98V,16.03,2,dlPFC
91O,15.86,2,dlPFC
46Z,13.97,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
6O7,6.03,2,dlPFC
2C6,14.03,2,dlPFC
2C6,14.03,2,dlPFC
4J6,7.15,2,dlPFC
3D1,13.11,2,dlPFC
5R4,6.25,2,dlPFC
31S,17.0,2,dlPFC
41N,16.74,2,dlPFC
82V,16.01,2,dlPFC
82V,16.01,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
2C6,14.03,2,dlPFC
3E4,11.99,2,dlPFC
4S3,3.18,2,dlPFC
82V,16.01,2,dlPFC
6D9,13.11,2,dlPFC
1G8,7.88,2,dlPFC
5R4,6.25,2,dlPFC
46Z,13.97,2,dlPFC
5H6,11.03,2,dlPFC
6L4,8.2,2,dlPFC
41N,16.74,2,dlPFC
77V,16.15,2,dlPFC
0B9,12.11,2,dlPFC
2C6,14.03,2,dlPFC
3E4,11.99,2,dlPFC
4J6,7.15,2,dlPFC
2S2,6.31,2,dlPFC
42T,15.96,2,dlPFC
91O,15.86,2,dlPFC
31S,17.0,2,dlPFC
4J6,7.15,2,dlPFC
41N,16.74,2,dlPFC
77V,16.15,2,dlPFC
6O7,6.03,2,dlPFC
6O7,6.03,2,dlPFC
6O7,6.03,2,dlPFC
3E4,11.99,2,dlPFC
4S3,3.18,2,dlPFC
4S3,3.18,2,dlPFC
56K,19.93,2,dlPFC
0B9,12.11,2,dlPFC
6D9,13.11,2,dlPFC
3D1,13.11,2,dlPFC
46Z,13.97,2,dlPFC
8H2,10.13,2,dlPFC
77V,16.15,2,dlPFC
82V,16.01,2,dlPFC
2V1,4.3,2,dlPFC
6D9,13.11,2,dlPFC
5R4,6.25,2,dlPFC
56K,19.93,2,dlPFC
3K1,9.01,2,dlPFC
8H2,10.13,2,dlPFC
8H2,10.13,2,dlPFC
31S,17.0,2,dlPFC
91O,15.86,2,dlPFC
46Z,13.97,2,dlPFC
41N,16.74,2,dlPFC
41N,16.74,2,dlPFC
41N,16.74,2,dlPFC
77V,16.15,2,dlPFC
56K,19.93,2,dlPFC
0B9,12.11,2,dlPFC
6O7,6.03,2,dlPFC
3E4,11.99,2,dlPFC
4S3,3.18,2,dlPFC
3D1,13.11,2,dlPFC
3D1,13.11,2,dlPFC
1G8,7.88,2,dlPFC
41N,16.74,2,dlPFC
41N,16.74,2,dlPFC
2I1,10.27,2,dlPFC
2V1,4.3,2,dlPFC
77V,16.15,2,dlPFC
82V,16.01,2,dlPFC
4S3,3.18,2,dlPFC
4S3,3.18,2,dlPFC
4S3,3.18,2,dlPFC
82V,16.01,2,dlPFC
6D9,13.11,2,dlPFC
56R,14.95,2,dlPFC
1G8,7.88,2,dlPFC
42T,15.96,2,dlPFC
8H2,10.13,2,dlPFC
8H2,10.13,2,dlPFC
5H6,11.03,2,dlPFC
5H6,11.03,2,dlPFC
4J6,7.15,2,dlPFC
41N,16.74,2,dlPFC
77V,16.15,2,dlPFC
0G3,9.1,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
77V,16.15,2,dlPFC
3K1,9.01,2,dlPFC
41N,16.74,2,dlPFC
41N,16.74,2,dlPFC
0B9,12.11,2,dlPFC
3E4,11.99,2,dlPFC
3K1,9.01,2,dlPFC
98V,16.03,2,dlPFC
31S,17.0,2,dlPFC
77V,16.15,2,dlPFC
77V,16.15,2,dlPFC
0B9,12.11,2,dlPFC
2C6,14.03,2,dlPFC
3K1,9.01,2,dlPFC
56R,14.95,2,dlPFC
5R4,6.25,2,dlPFC
98V,16.03,2,dlPFC
41N,16.74,2,dlPFC
0G3,9.1,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
2C6,14.03,2,dlPFC
3E4,11.99,2,dlPFC
3E4,11.99,2,dlPFC
4S3,3.18,2,dlPFC
77V,16.15,2,dlPFC
3D1,13.11,2,dlPFC
97R,17.93,2,dlPFC
8B3,13.09,2,dlPFC
31S,17.0,2,dlPFC
31S,17.0,2,dlPFC
77V,16.15,2,dlPFC
74K,20.81,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
2C6,14.03,2,dlPFC
4S3,3.18,2,dlPFC
82V,16.01,2,dlPFC
6D9,13.11,2,dlPFC
3K1,9.01,2,dlPFC
3K1,9.01,2,dlPFC
8H2,10.13,2,dlPFC
8H2,10.13,2,dlPFC
4J6,7.15,2,dlPFC
6L4,8.2,2,dlPFC
41N,16.74,2,dlPFC
41N,16.74,2,dlPFC
7F0,11.2,2,dlPFC
0G3,9.1,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
77V,16.15,2,dlPFC
82V,16.01,2,dlPFC
3K1,9.01,2,dlPFC
3K1,9.01,2,dlPFC
56R,14.95,2,dlPFC
1G8,7.88,2,dlPFC
8H2,10.13,2,dlPFC
8H2,10.13,2,dlPFC
46Z,13.97,2,dlPFC
6L4,8.2,2,dlPFC
41N,16.74,2,dlPFC
41N,16.74,2,dlPFC
77V,16.15,2,dlPFC
82V,16.01,2,dlPFC
1T9,4.11,2,dlPFC
3E4,11.99,2,dlPFC
77V,16.15,2,dlPFC
82V,16.01,2,dlPFC
56K,19.93,2,dlPFC
8B3,13.09,2,dlPFC
31S,17.0,2,dlPFC
31S,17.0,2,dlPFC
91O,15.86,2,dlPFC
6L4,8.2,2,dlPFC
77V,16.15,2,dlPFC
77V,16.15,2,dlPFC
82V,16.01,2,dlPFC
6D9,13.11,2,dlPFC
55R,14.97,2,dlPFC
5R4,6.25,2,dlPFC
2V1,4.3,2,dlPFC
74K,20.81,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
2C6,14.03,2,dlPFC
3E4,11.99,2,dlPFC
56K,19.93,2,dlPFC
6D9,13.11,2,dlPFC
3K1,9.01,2,dlPFC
55R,14.97,2,dlPFC
3T5,5.12,2,dlPFC
46Z,13.97,2,dlPFC
77V,16.15,2,dlPFC
74K,20.81,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
8C9,12.12,2,dlPFC
43N,17.0,2,dlPFC
3R7,3.32,2,dlPFC
5R4,6.25,2,dlPFC
31S,17.0,2,dlPFC
5H6,11.03,2,dlPFC
6L4,8.2,2,dlPFC
77V,16.15,2,dlPFC
0G3,9.1,2,dlPFC
82V,16.01,2,dlPFC
56K,19.93,2,dlPFC
3E4,11.99,2,dlPFC
4S3,3.18,2,dlPFC
6D9,13.11,2,dlPFC
3R7,3.32,2,dlPFC
4J6,7.15,2,dlPFC
77V,16.15,2,dlPFC
74K,20.81,2,dlPFC
56K,19.93,2,dlPFC
0B9,12.11,2,dlPFC
3E4,11.99,2,dlPFC
3E4,11.99,2,dlPFC
4J6,7.15,2,dlPFC
0B9,12.11,2,dlPFC
3K1,9.01,2,dlPFC
3D1,13.11,2,dlPFC
3D1,13.11,2,dlPFC
8B3,13.09,2,dlPFC
77V,16.15,2,dlPFC
77V,16.15,2,dlPFC
77V,16.15,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
6D9,13.11,2,dlPFC
3K1,9.01,2,dlPFC
8H2,10.13,2,dlPFC
5R4,6.25,2,dlPFC
5R4,6.25,2,dlPFC
31S,17.0,2,dlPFC
31S,17.0,2,dlPFC
91O,15.86,2,dlPFC
41N,16.74,2,dlPFC
2V1,4.3,2,dlPFC
2V1,4.3,2,dlPFC
0G3,9.1,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
3E4,11.99,2,dlPFC
3T5,5.12,2,dlPFC
1G8,7.88,2,dlPFC
8H2,10.13,2,dlPFC
2T2,4.09,2,dlPFC
4J6,7.15,2,dlPFC
6L4,8.2,2,dlPFC
2V1,4.3,2,dlPFC
3E4,11.99,2,dlPFC
82V,16.01,2,dlPFC
43N,17.0,2,dlPFC
56R,14.95,2,dlPFC
8H2,10.13,2,dlPFC
5R4,6.25,2,dlPFC
5R4,6.25,2,dlPFC
31S,17.0,2,dlPFC
41N,16.74,2,dlPFC
77V,16.15,2,dlPFC
2C6,14.03,2,dlPFC
4J6,7.15,2,dlPFC
56K,19.93,2,dlPFC
0B9,12.11,2,dlPFC
31S,17.0,2,dlPFC
4J6,7.15,2,dlPFC
41N,16.74,2,dlPFC
82V,16.01,2,dlPFC
82V,16.01,2,dlPFC
0B9,12.11,2,dlPFC
6O7,6.03,2,dlPFC
6O7,6.03,2,dlPFC
82V,16.01,2,dlPFC
3K1,9.01,2,dlPFC
3T5,5.12,2,dlPFC
5R4,6.25,2,dlPFC
5R4,6.25,2,dlPFC
98V,16.03,2,dlPFC
4J6,7.15,2,dlPFC
41N,16.74,2,dlPFC
41N,16.74,2,dlPFC
77V,16.15,2,dlPFC
0G3,9.1,2,dlPFC
0B9,12.11,2,dlPFC
0B9,12.11,2,dlPFC
2C6,14.03,2,dlPFC
2C6,14.03,2,dlPFC
3E4,11.99,2,dlPFC
1P5,6.21,2,dlPFC
8H2,10.13,2,dlPFC
91O,15.86,2,dlPFC
91O,15.86,2,dlPFC
46Z,13.97,2,dlPFC
31S,17.0,2,dlPFC
5H6,11.03,2,dlPFC
77V,16.15,2,dlPFC
74K,20.81,2,dlPFC
82V,16.01,2,dlPFC
82V,16.01,2,dlPFC
56K,19.93,2,dlPFC
43N,17.0,2,dlPFC
2C6,14.03,2,dlPFC
82V,16.01,2,dlPFC
6D9,13.11,2,dlPFC
2S2,6.31,2,dlPFC
3K1,9.01,2,dlPFC
97R,17.93,2,dlPFC
46Z,13.97,2,dlPFC
6O7,6.03,2,dlPFC
2C6,14.03,2,dlPFC
3E4,11.99,2,dlPFC
3E4,11.99,2,dlPFC
3E4,11.99,2,dlPFC
4S3,3.18,2,dlPFC
82V,16.01,2,dlPFC
55R,14.97,2,dlPFC
8B3,13.09,2,dlPFC
77V,16.15,2,dlPFC
77V,16.15,2,dlPFC
2C6,14.03,2,dlPFC
3E4,11.99,2,dlPFC
56R,14.95,2,dlPFC
1G8,7.88,2,dlPFC
7M4,8.15,2,dlPFC
